ConnID	RqstID	Latency
0 	 0 	 476.486µs
0 	 1 	 347.799µs
0 	 2 	 343.719µs
0 	 3 	 343.662µs
0 	 4 	 378.244µs
0 	 5 	 336.177µs
0 	 6 	 336.579µs
0 	 7 	 296.013µs
0 	 8 	 379.514µs
0 	 9 	 384.447µs
0 	 10 	 393.236µs
0 	 11 	 376.902µs
0 	 12 	 384.642µs
0 	 13 	 378.904µs
0 	 14 	 348.762µs
0 	 15 	 355.691µs
0 	 16 	 393.531µs
0 	 17 	 386.999µs
0 	 18 	 381.872µs
0 	 19 	 387.191µs
0 	 20 	 387.866µs
0 	 21 	 386.354µs
0 	 22 	 382.946µs
0 	 23 	 387.839µs
0 	 24 	 387.899µs
0 	 25 	 349.59µs
0 	 26 	 388.314µs
0 	 27 	 356.921µs
0 	 28 	 353.907µs
0 	 29 	 386.877µs
0 	 30 	 391.459µs
0 	 31 	 398.869µs
0 	 32 	 377.479µs
0 	 33 	 382.467µs
0 	 34 	 342.007µs
0 	 35 	 350.705µs
0 	 36 	 345.929µs
0 	 37 	 376.109µs
0 	 38 	 386.814µs
0 	 39 	 398.722µs
0 	 40 	 388.529µs
0 	 41 	 386.099µs
0 	 42 	 386.431µs
0 	 43 	 376.732µs
0 	 44 	 350.454µs
0 	 45 	 347.952µs
0 	 46 	 349.387µs
0 	 47 	 359.345µs
0 	 48 	 335.244µs
0 	 49 	 373.774µs
0 	 50 	 374.304µs
0 	 51 	 380.919µs
0 	 52 	 383.964µs
0 	 53 	 385.106µs
0 	 54 	 345.919µs
0 	 55 	 337.051µs
0 	 56 	 350.586µs
0 	 57 	 346.307µs
0 	 58 	 344.437µs
0 	 59 	 422.171µs
0 	 60 	 432.239µs
0 	 61 	 423.174µs
0 	 62 	 394.439µs
0 	 63 	 394.034µs
0 	 64 	 381.656µs
0 	 65 	 349.896µs
0 	 66 	 342.212µs
0 	 67 	 339.735µs
0 	 68 	 386.697µs
0 	 69 	 387.104µs
0 	 70 	 381.327µs
0 	 71 	 430.011µs
0 	 72 	 391.389µs
0 	 73 	 382.459µs
0 	 74 	 392.601µs
0 	 75 	 385.371µs
0 	 76 	 389.786µs
0 	 77 	 341.132µs
0 	 78 	 348.964µs
0 	 79 	 386.856µs
0 	 80 	 384.534µs
0 	 81 	 378.161µs
0 	 82 	 385.984µs
0 	 83 	 346.266µs
0 	 84 	 354.264µs
0 	 85 	 345.887µs
0 	 86 	 348.74µs
0 	 87 	 354.432µs
0 	 88 	 347.199µs
0 	 89 	 386.927µs
0 	 90 	 442.461µs
0 	 91 	 427.288µs
0 	 92 	 432.966µs
0 	 93 	 390.089µs
0 	 94 	 379.329µs
0 	 95 	 402.879µs
0 	 96 	 347.574µs
0 	 97 	 334.484µs
0 	 98 	 336.842µs
0 	 99 	 388.407µs
0 	 100 	 386.309µs
0 	 101 	 374.159µs
0 	 102 	 383.854µs
0 	 103 	 367.787µs
0 	 104 	 406.044µs
0 	 105 	 377.302µs
0 	 106 	 400.626µs
0 	 107 	 395.027µs
0 	 108 	 393.177µs
0 	 109 	 386.939µs
0 	 110 	 389.731µs
0 	 111 	 378.564µs
0 	 112 	 357.752µs
0 	 113 	 348.862µs
0 	 114 	 348.894µs
0 	 115 	 349.175µs
0 	 116 	 348.707µs
0 	 117 	 345.472µs
0 	 118 	 348.71µs
0 	 119 	 346.79µs
0 	 120 	 349.657µs
0 	 121 	 343.624µs
0 	 122 	 345.284µs
0 	 123 	 351.042µs
0 	 124 	 344.392µs
0 	 125 	 337.822µs
0 	 126 	 347.836µs
0 	 127 	 359.934µs
0 	 128 	 349.739µs
0 	 129 	 356.702µs
0 	 130 	 343.707µs
0 	 131 	 349.204µs
0 	 132 	 350.422µs
0 	 133 	 348.065µs
0 	 134 	 384.046µs
0 	 135 	 385.639µs
0 	 136 	 266.165µs
0 	 137 	 396.319µs
0 	 138 	 394.207µs
0 	 139 	 404.989µs
0 	 140 	 340.42µs
0 	 141 	 353.149µs
0 	 142 	 345.682µs
0 	 143 	 382.594µs
0 	 144 	 351.966µs
0 	 145 	 335.524µs
0 	 146 	 357.877µs
0 	 147 	 391.534µs
0 	 148 	 383.531µs
0 	 149 	 381.034µs
0 	 150 	 382.356µs
0 	 151 	 349.167µs
0 	 152 	 361.197µs
0 	 153 	 336.262µs
0 	 154 	 342.684µs
0 	 155 	 347.199µs
0 	 156 	 341.944µs
0 	 157 	 350.61µs
0 	 158 	 356.784µs
0 	 159 	 411.576µs
0 	 160 	 386.487µs
0 	 161 	 373.447µs
0 	 162 	 390.324µs
0 	 163 	 387.417µs
0 	 164 	 389.067µs
0 	 165 	 349.939µs
0 	 166 	 342.392µs
0 	 167 	 344.419µs
0 	 168 	 370.671µs
0 	 169 	 368.156µs
0 	 170 	 353.402µs
0 	 171 	 410.482µs
0 	 172 	 393.594µs
0 	 173 	 390.842µs
0 	 174 	 381.451µs
0 	 175 	 382.852µs
0 	 176 	 411.811µs
0 	 177 	 383.124µs
0 	 178 	 346.32µs
0 	 179 	 343.594µs
0 	 180 	 342.409µs
0 	 181 	 343.26µs
0 	 182 	 340.022µs
0 	 183 	 358.326µs
0 	 184 	 339.965µs
0 	 185 	 343.781µs
0 	 186 	 346.589µs
0 	 187 	 361.409µs
0 	 188 	 347.18µs
0 	 189 	 346.132µs
0 	 190 	 373.941µs
0 	 191 	 398.934µs
0 	 192 	 396.271µs
0 	 193 	 383.971µs
0 	 194 	 394.269µs
0 	 195 	 393.334µs
0 	 196 	 348.934µs
0 	 197 	 341.654µs
0 	 198 	 365.16µs
0 	 199 	 382.609µs
0 	 200 	 414.494µs
0 	 201 	 390.426µs
0 	 202 	 410.406µs
0 	 203 	 388.597µs
0 	 204 	 391.606µs
0 	 205 	 386.721µs
0 	 206 	 412.044µs
0 	 207 	 387.524µs
0 	 208 	 431.041µs
0 	 209 	 391.389µs
0 	 210 	 389.854µs
0 	 211 	 408.866µs
0 	 212 	 410.349µs
0 	 213 	 392.274µs
0 	 214 	 372.286µs
0 	 215 	 368.369µs
0 	 216 	 411.781µs
0 	 217 	 374.152µs
0 	 218 	 381.229µs
0 	 219 	 382.061µs
0 	 220 	 387.057µs
0 	 221 	 357.002µs
0 	 222 	 348.512µs
0 	 223 	 369.977µs
0 	 224 	 396.534µs
0 	 225 	 360.89µs
0 	 226 	 354.147µs
0 	 227 	 370.39µs
0 	 228 	 343.179µs
0 	 229 	 343.959µs
0 	 230 	 370.577µs
0 	 231 	 351.612µs
0 	 232 	 353.957µs
0 	 233 	 359.232µs
0 	 234 	 364.499µs
0 	 235 	 339.911µs
0 	 236 	 349.632µs
0 	 237 	 358.681µs
0 	 238 	 361.066µs
0 	 239 	 355.922µs
0 	 240 	 354.792µs
0 	 241 	 364.47µs
0 	 242 	 355.839µs
0 	 243 	 363.047µs
0 	 244 	 353.592µs
0 	 245 	 345.984µs
0 	 246 	 352.049µs
0 	 247 	 344.467µs
0 	 248 	 348.625µs
0 	 249 	 346.062µs
0 	 250 	 350.176µs
0 	 251 	 356.242µs
0 	 252 	 354.799µs
0 	 253 	 329.29µs
0 	 254 	 340.967µs
0 	 255 	 364.197µs
0 	 256 	 378.634µs
0 	 257 	 362.346µs
