10ms	1000 	 233.479µs 	 364.64µs 	 1.311256ms 	 41.419µs 	 99.99481348901291 	 102394.68901274922 	 204789.37802549844
3ms	1000 	 250.555µs 	 349.925µs 	 599.45µs 	 29.066µs 	 333.2629627480837 	 341261.2738540377 	 682522.5477080754
1ms	1000 	 224.562µs 	 287.375µs 	 815.273µs 	 35.923µs 	 999.4119430144943 	 1.0233978296468422e+06 	 2.0467956592936844e+06
300us	1000 	 191.306µs 	 301.219µs 	 845.893µs 	 52.973µs 	 3326.6604184665352 	 3.406500268509732e+06 	 6.813000537019464e+06
100us	1000 	 102.922µs 	 161.459µs 	 398.297µs 	 40.459µs 	 8970.343756490045 	 9.185632006645806e+06 	 1.8371264013291612e+07
30us	1000 	 90.011µs 	 157.974µs 	 1.160587ms 	 85.752µs 	 10985.550178543754 	 1.1249203382828804e+07 	 2.2498406765657607e+07
10us	1000 	 82.206µs 	 115.431µs 	 362.896µs 	 24.696µs 	 15139.890926775402 	 1.5503248309018012e+07 	 3.1006496618036024e+07
3us	1000 	 92.116µs 	 158.852µs 	 1.769984ms 	 164.285µs 	 13906.917275620443 	 1.4240683290235333e+07 	 2.8481366580470666e+07
1us	1000 	 87.702µs 	 135.411µs 	 537.066µs 	 37.741µs 	 14467.400656736078 	 1.4814618272497743e+07 	 2.9629236544995487e+07
300ns	1000 	 75.988µs 	 125.151µs 	 468.104µs 	 39.197µs 	 15055.299923254104 	 1.5416627121412203e+07 	 3.0833254242824405e+07
100ns	1000 	 82.082µs 	 136.854µs 	 434.219µs 	 36.598µs 	 14210.891303834072 	 1.455195269512609e+07 	 2.910390539025218e+07
30ns	1000 	 86.433µs 	 130.852µs 	 619.4µs 	 40.567µs 	 14682.898219103934 	 1.5035287776362428e+07 	 3.0070575552724857e+07
10ns	1000 	 91.066µs 	 129.344µs 	 362.712µs 	 27.125µs 	 14662.744773446298 	 1.501465064800901e+07 	 3.002930129601802e+07
3ns	1000 	 88.236µs 	 139.642µs 	 658.639µs 	 45.083µs 	 13833.051392690866 	 1.4165044626115447e+07 	 2.8330089252230894e+07
1ns	1000 	 88.001µs 	 124.326µs 	 547.835µs 	 40.043µs 	 15202.201363889817 	 1.5567054196623173e+07 	 3.1134108393246345e+07
0ns	1000 	 1.448764ms 	 2.720996ms 	 4.928462ms 	 1.111075ms 	 135714.47086759954 	 1.3897161816842192e+08 	 2.7794323633684385e+08
