ConnID	RqstID	Latency
0 	 0 	 325.964µs
0 	 1 	 248.69µs
0 	 2 	 286.342µs
0 	 3 	 312.259µs
0 	 4 	 284.615µs
0 	 5 	 294.81µs
0 	 6 	 280.702µs
0 	 7 	 302.25µs
0 	 8 	 323.282µs
0 	 9 	 282.05µs
0 	 10 	 287.655µs
0 	 11 	 246.962µs
0 	 12 	 273.898µs
0 	 13 	 275.556µs
0 	 14 	 280.133µs
0 	 15 	 280.417µs
0 	 16 	 284.637µs
0 	 17 	 277.465µs
0 	 18 	 322.11µs
0 	 19 	 316.808µs
0 	 20 	 304.607µs
0 	 21 	 303.707µs
0 	 22 	 283.02µs
0 	 23 	 281.887µs
0 	 24 	 265.762µs
0 	 25 	 262.5µs
0 	 26 	 283.355µs
0 	 27 	 269.855µs
0 	 28 	 306.842µs
0 	 29 	 272.138µs
0 	 30 	 285.77µs
0 	 31 	 294.602µs
0 	 32 	 308.947µs
0 	 33 	 300.654µs
0 	 34 	 274.63µs
0 	 35 	 273.543µs
0 	 36 	 315.815µs
0 	 37 	 314.517µs
0 	 38 	 280.195µs
0 	 39 	 266.028µs
0 	 40 	 306.807µs
0 	 41 	 280.3µs
0 	 42 	 349.202µs
0 	 43 	 351.97µs
0 	 44 	 357.615µs
0 	 45 	 316.965µs
0 	 46 	 283.82µs
0 	 47 	 271.052µs
0 	 48 	 304.349µs
0 	 49 	 303.204µs
0 	 50 	 280.942µs
0 	 51 	 315.22µs
0 	 52 	 360.099µs
0 	 53 	 328.957µs
0 	 54 	 306.547µs
0 	 55 	 267.633µs
0 	 56 	 282.363µs
0 	 57 	 276.458µs
0 	 58 	 275.26µs
0 	 59 	 317.975µs
0 	 60 	 312.253µs
0 	 61 	 286.895µs
0 	 62 	 268.292µs
0 	 63 	 299.048µs
0 	 64 	 265.462µs
0 	 65 	 272.652µs
0 	 66 	 274.86µs
0 	 67 	 319.717µs
0 	 68 	 294.05µs
0 	 69 	 286.237µs
0 	 70 	 276.017µs
0 	 71 	 272.895µs
0 	 72 	 278.948µs
0 	 73 	 283.397µs
0 	 74 	 273.123µs
0 	 75 	 270.128µs
0 	 76 	 274.99µs
0 	 77 	 267.325µs
0 	 78 	 271.01µs
0 	 79 	 286.643µs
0 	 80 	 311.185µs
0 	 81 	 264.455µs
0 	 82 	 270.985µs
0 	 83 	 307.89µs
0 	 84 	 450.656µs
0 	 85 	 208.298µs
0 	 86 	 310.159µs
0 	 87 	 338.577µs
0 	 88 	 326.254µs
0 	 89 	 303.62µs
0 	 90 	 354.167µs
0 	 91 	 316.957µs
0 	 92 	 367.706µs
0 	 93 	 315.642µs
0 	 94 	 287.642µs
0 	 95 	 334.21µs
0 	 96 	 355.672µs
0 	 97 	 319.787µs
0 	 98 	 323.949µs
0 	 99 	 351.007µs
0 	 100 	 342.267µs
0 	 101 	 300.53µs
0 	 102 	 309.192µs
0 	 103 	 354.087µs
0 	 104 	 358.466µs
0 	 105 	 287.695µs
0 	 106 	 267.963µs
0 	 107 	 315.69µs
0 	 108 	 310.199µs
0 	 109 	 316.915µs
0 	 110 	 317.819µs
0 	 111 	 322.484µs
0 	 112 	 311.31µs
0 	 113 	 353.897µs
0 	 114 	 343.787µs
0 	 115 	 337.4µs
0 	 116 	 382.011µs
0 	 117 	 351.252µs
0 	 118 	 320.602µs
0 	 119 	 282.385µs
0 	 120 	 306.54µs
0 	 121 	 314.293µs
0 	 122 	 337.329µs
0 	 123 	 316.803µs
0 	 124 	 344.369µs
0 	 125 	 337.852µs
0 	 126 	 290.609µs
0 	 127 	 320.812µs
0 	 128 	 339.91µs
0 	 129 	 296.917µs
0 	 130 	 297.172µs
0 	 131 	 309.465µs
0 	 132 	 380.162µs
0 	 133 	 352.459µs
0 	 134 	 270.308µs
0 	 135 	 270.477µs
0 	 136 	 310.432µs
0 	 137 	 273.472µs
0 	 138 	 278.975µs
0 	 139 	 270.792µs
0 	 140 	 310.159µs
0 	 141 	 308.497µs
0 	 142 	 292.488µs
0 	 143 	 269.985µs
0 	 144 	 308.277µs
0 	 145 	 271.105µs
