10ms	1000 	 186.511µs 	 412.323µs 	 520.24µs 	 54.787µs 	 99.9947915312956 	 102394.6665280467 	 204789.3330560934
3ms	1000 	 234.238µs 	 419.126µs 	 1.027702ms 	 50.059µs 	 333.27630942351465 	 341274.940849679 	 682549.881699358
1ms	1000 	 138.642µs 	 349.256µs 	 486.649µs 	 44.781µs 	 999.4790874912651 	 1.0234665855910555e+06 	 2.046933171182111e+06
300us	1000 	 129.293µs 	 274.355µs 	 447.097µs 	 55.692µs 	 3328.6307325978055 	 3.408517870180153e+06 	 6.817035740360306e+06
100us	1000 	 55.364µs 	 134.351µs 	 406.2µs 	 45.737µs 	 8939.927211470242 	 9.154485464545527e+06 	 1.8308970929091055e+07
30us	1000 	 53.224µs 	 126.137µs 	 475.907µs 	 43.643µs 	 10844.178523980643 	 1.1104438808556179e+07 	 2.2208877617112357e+07
10us	1000 	 56.206µs 	 122.824µs 	 1.382489ms 	 120.753µs 	 14277.907329956372 	 1.4620577105875324e+07 	 2.924115421175065e+07
3us	1000 	 53.062µs 	 113.6µs 	 452.895µs 	 48.772µs 	 15573.545249831202 	 1.5947310335827151e+07 	 3.1894620671654303e+07
1us	1000 	 54.99µs 	 103.898µs 	 425.914µs 	 43.391µs 	 15417.331673996761 	 1.5787347634172684e+07 	 3.1574695268345367e+07
300ns	1000 	 58.494µs 	 113.382µs 	 315.109µs 	 33.583µs 	 15653.107845514533 	 1.6028782433806881e+07 	 3.2057564867613763e+07
100ns	1000 	 59.105µs 	 106.541µs 	 431.803µs 	 41.036µs 	 15712.155572462883 	 1.6089247306201993e+07 	 3.2178494612403985e+07
30ns	1000 	 55.131µs 	 117.517µs 	 523.542µs 	 42.366µs 	 16014.101377108627 	 1.6398439810159234e+07 	 3.279687962031847e+07
10ns	1000 	 54.061µs 	 101.612µs 	 330.126µs 	 32.416µs 	 15072.78156351621 	 1.5434528321040599e+07 	 3.0869056642081197e+07
3ns	1000 	 59.971µs 	 106.504µs 	 334.295µs 	 35.743µs 	 15386.334156497083 	 1.5755606176253013e+07 	 3.1511212352506027e+07
1ns	1000 	 54.603µs 	 103.581µs 	 343.159µs 	 35.376µs 	 15044.393598405919 	 1.5405459044767661e+07 	 3.0810918089535322e+07
0ns	1000 	 6.024086ms 	 6.730782ms 	 7.334134ms 	 443.388µs 	 73153.11964770628 	 7.490879451925123e+07 	 1.4981758903850245e+08
