ConnID	RqstID	Latency
0 	 0 	 169.524µs
0 	 1 	 192.305µs
0 	 2 	 281.222µs
0 	 3 	 278.768µs
0 	 4 	 289.431µs
0 	 5 	 295.846µs
0 	 6 	 244.789µs
0 	 7 	 282.033µs
0 	 8 	 321.197µs
0 	 9 	 344.735µs
0 	 10 	 346.164µs
0 	 11 	 339.344µs
0 	 12 	 342.038µs
0 	 13 	 371.249µs
0 	 14 	 337.611µs
0 	 15 	 368.038µs
0 	 16 	 384.67µs
0 	 17 	 368.313µs
0 	 18 	 317.173µs
0 	 19 	 346.515µs
0 	 20 	 348.715µs
0 	 21 	 378.023µs
0 	 22 	 398.497µs
0 	 23 	 398.602µs
0 	 24 	 455.381µs
0 	 25 	 359.332µs
0 	 26 	 303.917µs
0 	 27 	 329.591µs
0 	 28 	 296.087µs
0 	 29 	 320.164µs
0 	 30 	 380.463µs
0 	 31 	 407.77µs
0 	 32 	 421.557µs
0 	 33 	 328.902µs
0 	 34 	 335.16µs
0 	 35 	 294.453µs
0 	 36 	 377.334µs
0 	 37 	 404.445µs
0 	 38 	 377.952µs
0 	 39 	 374.585µs
0 	 40 	 412.369µs
0 	 41 	 408.677µs
0 	 42 	 378.907µs
0 	 43 	 395.599µs
0 	 44 	 379.167µs
0 	 45 	 344.356µs
0 	 46 	 315.255µs
0 	 47 	 376.88µs
0 	 48 	 410.847µs
0 	 49 	 391.115µs
0 	 50 	 378.752µs
0 	 51 	 406µs
0 	 52 	 361.283µs
0 	 53 	 357.753µs
0 	 54 	 385.757µs
0 	 55 	 317.014µs
0 	 56 	 406.275µs
0 	 57 	 412.629µs
0 	 58 	 334.304µs
0 	 59 	 360.235µs
0 	 60 	 348.461µs
0 	 61 	 297.612µs
0 	 62 	 316.113µs
0 	 63 	 381.939µs
0 	 64 	 414.904µs
0 	 65 	 387.867µs
0 	 66 	 351.282µs
0 	 67 	 333.551µs
0 	 68 	 362.578µs
0 	 69 	 353.998µs
0 	 70 	 352.845µs
0 	 71 	 347.172µs
0 	 72 	 381.43µs
0 	 73 	 393.242µs
0 	 74 	 374.79µs
0 	 75 	 318.553µs
0 	 76 	 325.318µs
0 	 77 	 334.73µs
0 	 78 	 317.255µs
0 	 79 	 312.635µs
0 	 80 	 371.737µs
0 	 81 	 350.728µs
0 	 82 	 373.845µs
0 	 83 	 371.909µs
0 	 84 	 374.692µs
0 	 85 	 364.833µs
0 	 86 	 362.362µs
0 	 87 	 353.072µs
0 	 88 	 367.33µs
0 	 89 	 354.846µs
0 	 90 	 382.647µs
0 	 91 	 397.18µs
0 	 92 	 373.738µs
0 	 93 	 385.465µs
0 	 94 	 384.817µs
0 	 95 	 382.795µs
0 	 96 	 373.868µs
0 	 97 	 410.165µs
0 	 98 	 451.361µs
0 	 99 	 448.084µs
0 	 100 	 399.659µs
0 	 101 	 359.358µs
0 	 102 	 392.74µs
0 	 103 	 395.637µs
0 	 104 	 414.574µs
0 	 105 	 375.472µs
0 	 106 	 362.927µs
0 	 107 	 405.73µs
0 	 108 	 391.593µs
0 	 109 	 330.488µs
0 	 110 	 324.593µs
0 	 111 	 349.225µs
0 	 112 	 348.473µs
0 	 113 	 346.483µs
0 	 114 	 361.637µs
0 	 115 	 326.198µs
0 	 116 	 335.498µs
0 	 117 	 361.903µs
0 	 118 	 326.048µs
0 	 119 	 326.036µs
0 	 120 	 371.09µs
0 	 121 	 365.333µs
0 	 122 	 371.77µs
0 	 123 	 426.744µs
0 	 124 	 448.527µs
0 	 125 	 388.85µs
0 	 126 	 398.63µs
0 	 127 	 374.072µs
0 	 128 	 310.485µs
0 	 129 	 358.398µs
0 	 130 	 458.481µs
0 	 131 	 377.145µs
0 	 132 	 420.394µs
0 	 133 	 394.734µs
0 	 134 	 353.626µs
0 	 135 	 358.217µs
0 	 136 	 381.404µs
0 	 137 	 386.37µs
0 	 138 	 345.536µs
0 	 139 	 346.898µs
0 	 140 	 388.805µs
0 	 141 	 397.582µs
0 	 142 	 394.904µs
0 	 143 	 386.014µs
0 	 144 	 397.98µs
0 	 145 	 383.204µs
0 	 146 	 386.275µs
0 	 147 	 412.837µs
0 	 148 	 446.501µs
0 	 149 	 391.112µs
0 	 150 	 393.545µs
0 	 151 	 423.592µs
0 	 152 	 384.48µs
0 	 153 	 383.25µs
0 	 154 	 381.995µs
0 	 155 	 388.855µs
0 	 156 	 396.204µs
0 	 157 	 376.052µs
0 	 158 	 371.048µs
0 	 159 	 395.139µs
0 	 160 	 364.55µs
0 	 161 	 366.595µs
0 	 162 	 317.333µs
0 	 163 	 378.502µs
0 	 164 	 384.635µs
0 	 165 	 350.453µs
0 	 166 	 326.986µs
0 	 167 	 330.138µs
0 	 168 	 366.197µs
0 	 169 	 379.832µs
0 	 170 	 363.783µs
0 	 171 	 356.363µs
0 	 172 	 335.938µs
0 	 173 	 412.957µs
0 	 174 	 378.6µs
0 	 175 	 418.514µs
0 	 176 	 371.13µs
0 	 177 	 325.793µs
0 	 178 	 334.853µs
0 	 179 	 373.935µs
0 	 180 	 365.347µs
0 	 181 	 348.095µs
0 	 182 	 382.852µs
0 	 183 	 405.835µs
0 	 184 	 316.921µs
0 	 185 	 371.714µs
0 	 186 	 326.148µs
0 	 187 	 330.185µs
0 	 188 	 313.558µs
0 	 189 	 318.621µs
0 	 190 	 381.454µs
0 	 191 	 398.047µs
0 	 192 	 382.667µs
0 	 193 	 383.907µs
0 	 194 	 365.922µs
0 	 195 	 372.128µs
0 	 196 	 374.782µs
0 	 197 	 379.823µs
0 	 198 	 407.42µs
0 	 199 	 419.716µs
0 	 200 	 395.718µs
0 	 201 	 349.095µs
0 	 202 	 311.818µs
0 	 203 	 345.268µs
0 	 204 	 364.578µs
0 	 205 	 366.08µs
0 	 206 	 372.578µs
0 	 207 	 395.435µs
0 	 208 	 372.633µs
0 	 209 	 330.125µs
0 	 210 	 352.807µs
0 	 211 	 352.643µs
0 	 212 	 313.851µs
0 	 213 	 345.872µs
0 	 214 	 351.263µs
0 	 215 	 343.643µs
0 	 216 	 378.26µs
0 	 217 	 362.597µs
0 	 218 	 369.68µs
0 	 219 	 362.435µs
0 	 220 	 361.503µs
0 	 221 	 349.06µs
0 	 222 	 422.037µs
0 	 223 	 453.062µs
0 	 224 	 419.824µs
0 	 225 	 366.855µs
0 	 226 	 361.265µs
0 	 227 	 366.593µs
0 	 228 	 360.625µs
0 	 229 	 360.162µs
0 	 230 	 349.668µs
0 	 231 	 357.833µs
0 	 232 	 447.949µs
0 	 233 	 420.222µs
0 	 234 	 418.524µs
0 	 235 	 411.824µs
0 	 236 	 392.834µs
0 	 237 	 426.462µs
0 	 238 	 392.5µs
0 	 239 	 360.095µs
0 	 240 	 355.288µs
0 	 241 	 363.695µs
0 	 242 	 355.615µs
0 	 243 	 383.352µs
0 	 244 	 370.233µs
0 	 245 	 380.79µs
0 	 246 	 357.293µs
0 	 247 	 379.69µs
0 	 248 	 443.889µs
0 	 249 	 437.629µs
0 	 250 	 393.037µs
0 	 251 	 382.604µs
0 	 252 	 387.129µs
0 	 253 	 385.607µs
0 	 254 	 382.027µs
0 	 255 	 400.335µs
0 	 256 	 400.002µs
0 	 257 	 407.447µs
0 	 258 	 389.89µs
0 	 259 	 356.856µs
0 	 260 	 378.962µs
0 	 261 	 364.632µs
0 	 262 	 365.597µs
0 	 263 	 320.228µs
0 	 264 	 362.35µs
0 	 265 	 317.483µs
0 	 266 	 394.648µs
0 	 267 	 347.677µs
0 	 268 	 363.341µs
0 	 269 	 381.028µs
0 	 270 	 377.718µs
0 	 271 	 380.464µs
0 	 272 	 401.769µs
0 	 273 	 410.142µs
0 	 274 	 422.48µs
0 	 275 	 407.227µs
0 	 276 	 391.239µs
0 	 277 	 390.935µs
0 	 278 	 375.402µs
0 	 279 	 350.737µs
0 	 280 	 360.561µs
0 	 281 	 349.568µs
0 	 282 	 422.634µs
0 	 283 	 419.657µs
0 	 284 	 381.523µs
0 	 285 	 372.827µs
0 	 286 	 321.436µs
0 	 287 	 392.35µs
0 	 288 	 364.893µs
0 	 289 	 365.255µs
0 	 290 	 330.788µs
0 	 291 	 353.586µs
0 	 292 	 363.842µs
0 	 293 	 362.248µs
0 	 294 	 364.683µs
0 	 295 	 402.044µs
0 	 296 	 359.415µs
0 	 297 	 370.455µs
0 	 298 	 400.439µs
0 	 299 	 416.302µs
0 	 300 	 410.267µs
0 	 301 	 398.738µs
0 	 302 	 384.135µs
0 	 303 	 395.507µs
0 	 304 	 388.155µs
0 	 305 	 370.47µs
0 	 306 	 330.17µs
0 	 307 	 392.439µs
0 	 308 	 435.617µs
0 	 309 	 419.064µs
0 	 310 	 416.77µs
0 	 311 	 415.254µs
0 	 312 	 408.447µs
0 	 313 	 405.277µs
0 	 314 	 404.859µs
0 	 315 	 403.745µs
0 	 316 	 406.024µs
0 	 317 	 345.51µs
0 	 318 	 344.71µs
0 	 319 	 407.535µs
0 	 320 	 380.957µs
0 	 321 	 383.932µs
0 	 322 	 387.124µs
0 	 323 	 398.1µs
0 	 324 	 373.582µs
0 	 325 	 380.159µs
0 	 326 	 392.764µs
0 	 327 	 384.407µs
0 	 328 	 388.697µs
0 	 329 	 365.13µs
0 	 330 	 391.66µs
0 	 331 	 398.297µs
0 	 332 	 388.133µs
0 	 333 	 422.507µs
0 	 334 	 416.667µs
0 	 335 	 414.53µs
0 	 336 	 348.166µs
0 	 337 	 351.158µs
0 	 338 	 351.068µs
0 	 339 	 312.188µs
0 	 340 	 305.503µs
0 	 341 	 310.126µs
0 	 342 	 317.606µs
0 	 343 	 319.878µs
0 	 344 	 353.31µs
0 	 345 	 353.067µs
0 	 346 	 364.025µs
0 	 347 	 350.321µs
0 	 348 	 353.532µs
0 	 349 	 349.808µs
0 	 350 	 346.116µs
0 	 351 	 365.03µs
0 	 352 	 357.683µs
0 	 353 	 351.768µs
0 	 354 	 355.553µs
0 	 355 	 312.476µs
0 	 356 	 360.258µs
0 	 357 	 356.128µs
0 	 358 	 351.13µs
0 	 359 	 355.105µs
0 	 360 	 344.515µs
0 	 361 	 347.693µs
0 	 362 	 352.473µs
0 	 363 	 352.132µs
0 	 364 	 348.608µs
0 	 365 	 326.503µs
0 	 366 	 358.133µs
0 	 367 	 355.221µs
0 	 368 	 353.985µs
0 	 369 	 355.068µs
0 	 370 	 355.531µs
0 	 371 	 351.873µs
0 	 372 	 349.2µs
0 	 373 	 353.098µs
0 	 374 	 350.597µs
0 	 375 	 318.498µs
0 	 376 	 351.128µs
0 	 377 	 351.005µs
0 	 378 	 351.935µs
0 	 379 	 428.289µs
0 	 380 	 353.803µs
0 	 381 	 364.095µs
0 	 382 	 359.148µs
0 	 383 	 376.575µs
0 	 384 	 350.17µs
0 	 385 	 348.58µs
0 	 386 	 352.518µs
0 	 387 	 351.082µs
0 	 388 	 383.794µs
0 	 389 	 424.149µs
0 	 390 	 417.287µs
0 	 391 	 350.925µs
0 	 392 	 311.798µs
0 	 393 	 309.066µs
0 	 394 	 312.378µs
0 	 395 	 307.956µs
0 	 396 	 316.681µs
0 	 397 	 352.708µs
0 	 398 	 349.112µs
0 	 399 	 346.933µs
0 	 400 	 362.667µs
0 	 401 	 345.738µs
