ConnID	RqstID	Latency
0 	 0 	 221.838µs
0 	 1 	 437.834µs
0 	 2 	 447.657µs
0 	 3 	 459.534µs
0 	 4 	 408.094µs
0 	 5 	 412.572µs
0 	 6 	 396.78µs
0 	 7 	 375.84µs
0 	 8 	 500.413µs
0 	 9 	 275.082µs
0 	 10 	 335.798µs
0 	 11 	 342.397µs
0 	 12 	 321.631µs
0 	 13 	 333.548µs
0 	 14 	 347.158µs
0 	 15 	 318.443µs
0 	 16 	 337.928µs
0 	 17 	 327.998µs
0 	 18 	 346.915µs
0 	 19 	 348.183µs
0 	 20 	 324.118µs
0 	 21 	 384.339µs
0 	 22 	 396.19µs
0 	 23 	 347.135µs
0 	 24 	 369.078µs
0 	 25 	 343.973µs
0 	 26 	 321.513µs
0 	 27 	 314.993µs
0 	 28 	 296.776µs
0 	 29 	 325.483µs
0 	 30 	 347.001µs
0 	 31 	 428.808µs
0 	 32 	 264.852µs
0 	 33 	 340.953µs
0 	 34 	 312.908µs
0 	 35 	 322.123µs
0 	 36 	 347.583µs
0 	 37 	 358.253µs
0 	 38 	 313.825µs
0 	 39 	 323.02µs
0 	 40 	 334.202µs
0 	 41 	 319.561µs
0 	 42 	 354.748µs
0 	 43 	 350.723µs
0 	 44 	 247.887µs
0 	 45 	 328.468µs
0 	 46 	 336.818µs
0 	 47 	 367.312µs
0 	 48 	 315.153µs
0 	 49 	 323.593µs
0 	 50 	 359.778µs
0 	 51 	 318.648µs
0 	 52 	 261.895µs
0 	 53 	 207.073µs
0 	 54 	 282.548µs
0 	 55 	 323.605µs
0 	 56 	 287.492µs
0 	 57 	 315.69µs
0 	 58 	 320.368µs
0 	 59 	 327.068µs
0 	 60 	 358.181µs
0 	 61 	 321.091µs
0 	 62 	 334.585µs
0 	 63 	 319.557µs
0 	 64 	 218.204µs
0 	 65 	 144.673µs
0 	 66 	 135.005µs
0 	 67 	 124.824µs
0 	 68 	 119.623µs
0 	 69 	 134.234µs
0 	 70 	 119.777µs
0 	 71 	 90.955µs
0 	 72 	 99.545µs
0 	 73 	 97.549µs
0 	 74 	 97.564µs
0 	 75 	 93.668µs
0 	 76 	 96.033µs
0 	 77 	 92.777µs
0 	 78 	 115.914µs
0 	 79 	 100.049µs
0 	 80 	 105.323µs
0 	 81 	 101.33µs
0 	 82 	 103.227µs
0 	 83 	 140.665µs
0 	 84 	 127.442µs
0 	 85 	 164.908µs
0 	 86 	 208.7µs
0 	 87 	 209.778µs
0 	 88 	 206.203µs
0 	 89 	 206.371µs
0 	 90 	 204.109µs
0 	 91 	 191.236µs
0 	 92 	 202.322µs
0 	 93 	 214.809µs
0 	 94 	 198.161µs
0 	 95 	 230.768µs
0 	 96 	 202.733µs
0 	 97 	 209.737µs
0 	 98 	 205.283µs
0 	 99 	 205.56µs
0 	 100 	 263.981µs
0 	 101 	 332.473µs
0 	 102 	 341.86µs
0 	 103 	 306.941µs
0 	 104 	 310.911µs
0 	 105 	 395.999µs
0 	 106 	 393.992µs
0 	 107 	 377.914µs
0 	 108 	 375.957µs
0 	 109 	 295.206µs
0 	 110 	 362.244µs
0 	 111 	 298.806µs
0 	 112 	 331.382µs
0 	 113 	 354.003µs
0 	 114 	 373.467µs
0 	 115 	 325.12µs
0 	 116 	 326.395µs
0 	 117 	 337.318µs
0 	 118 	 335.788µs
0 	 119 	 364.412µs
0 	 120 	 296.62µs
0 	 121 	 225.634µs
0 	 122 	 347.325µs
0 	 123 	 318.152µs
0 	 124 	 227.722µs
0 	 125 	 198.511µs
0 	 126 	 207.067µs
0 	 127 	 214.825µs
0 	 128 	 129.914µs
0 	 129 	 127.928µs
0 	 130 	 135.731µs
0 	 131 	 129.484µs
0 	 132 	 133.442µs
0 	 133 	 95.482µs
0 	 134 	 99.5µs
0 	 135 	 96.769µs
0 	 136 	 97.163µs
0 	 137 	 96.56µs
0 	 138 	 96.841µs
0 	 139 	 97.517µs
0 	 140 	 97.665µs
0 	 141 	 96.42µs
0 	 142 	 95.67µs
0 	 143 	 92.462µs
0 	 144 	 95.104µs
0 	 145 	 97.738µs
0 	 146 	 98.833µs
0 	 147 	 96.965µs
0 	 148 	 94.776µs
0 	 149 	 93.716µs
0 	 150 	 93.826µs
0 	 151 	 97.016µs
0 	 152 	 100.598µs
0 	 153 	 95.733µs
0 	 154 	 95.073µs
0 	 155 	 94.124µs
0 	 156 	 93.801µs
0 	 157 	 93.519µs
0 	 158 	 94.513µs
0 	 159 	 100.067µs
0 	 160 	 264.133µs
0 	 161 	 72.69µs
0 	 162 	 97.1µs
0 	 163 	 96.636µs
0 	 164 	 95.264µs
0 	 165 	 94.425µs
0 	 166 	 93.228µs
0 	 167 	 94.334µs
0 	 168 	 94.191µs
0 	 169 	 94.634µs
0 	 170 	 94.805µs
0 	 171 	 95.433µs
0 	 172 	 94.404µs
0 	 173 	 94.303µs
0 	 174 	 94.52µs
0 	 175 	 94.826µs
0 	 176 	 93.922µs
0 	 177 	 94.44µs
