10ms	1000 	 86.23µs 	 271.954µs 	 6.234865ms 	 220.955µs 	 99.99546913529664 	 102395.36039454376 	 204790.72078908753
3ms	1000 	 114.787µs 	 291.236µs 	 7.868747ms 	 375.468µs 	 333.2855867290834 	 341284.4408105814 	 682568.8816211628
1ms	1000 	 80.541µs 	 267.828µs 	 8.395904ms 	 629.369µs 	 999.6050300628915 	 1.0235955507844009e+06 	 2.0471911015688018e+06
300us	1000 	 91.476µs 	 159.305µs 	 403.422µs 	 27.366µs 	 3329.420986222773 	 3.4093270898921196e+06 	 6.818654179784239e+06
100us	1000 	 34.816µs 	 87.37µs 	 225.977µs 	 32.974µs 	 8860.698870788105 	 9.07335564368702e+06 	 1.814671128737404e+07
30us	1000 	 33.208µs 	 67.086µs 	 190.152µs 	 25.241µs 	 11857.68618479362 	 1.2142270653228667e+07 	 2.4284541306457333e+07
10us	1000 	 40.762µs 	 83.577µs 	 399.778µs 	 32.571µs 	 13586.970920974618 	 1.3913058223078009e+07 	 2.7826116446156017e+07
3us	1000 	 33.972µs 	 58.067µs 	 536.036µs 	 38.004µs 	 15649.098633827429 	 1.6024677001039287e+07 	 3.2049354002078574e+07
1us	1000 	 38.973µs 	 109.536µs 	 1.319234ms 	 112.153µs 	 15215.705602632781 	 1.5580882537095968e+07 	 3.1161765074191935e+07
300ns	1000 	 34.698µs 	 82.361µs 	 698.64µs 	 39µs 	 15493.96679652212 	 1.586582199963865e+07 	 3.17316439992773e+07
100ns	1000 	 47.029µs 	 85.63µs 	 429.43µs 	 28.64µs 	 14987.45362788176 	 1.5347152514950922e+07 	 3.0694305029901844e+07
30ns	1000 	 38.993µs 	 82.361µs 	 287.429µs 	 27.835µs 	 15146.819637427549 	 1.551034330872581e+07 	 3.102068661745162e+07
10ns	1000 	 42.156µs 	 78.823µs 	 345.576µs 	 25.893µs 	 15202.823991448839 	 1.556769176724361e+07 	 3.113538353448722e+07
3ns	1000 	 35.116µs 	 60.108µs 	 230.307µs 	 23.006µs 	 15805.182538320534 	 1.6184506919240227e+07 	 3.2369013838480454e+07
1ns	1000 	 39.499µs 	 89.699µs 	 300.501µs 	 23.366µs 	 14914.091848136364 	 1.5272030052491637e+07 	 3.0544060104983274e+07
0ns	1000 	 1.752412ms 	 5.042846ms 	 8.974616ms 	 2.194224ms 	 92199.21780027603 	 9.441199902748266e+07 	 1.8882399805496532e+08
