ConnID	RqstID	Latency
0 	 0 	 75.275µs
0 	 1 	 101.494µs
0 	 2 	 114.362µs
0 	 3 	 165.127µs
0 	 4 	 166.508µs
0 	 5 	 169.487µs
0 	 6 	 187.083µs
0 	 7 	 183.432µs
0 	 8 	 184.839µs
0 	 9 	 159.463µs
0 	 10 	 157.575µs
0 	 11 	 159.623µs
0 	 12 	 161.251µs
0 	 13 	 184.82µs
0 	 14 	 165.947µs
0 	 15 	 173.891µs
0 	 16 	 166.092µs
0 	 17 	 168.962µs
0 	 18 	 164.022µs
0 	 19 	 166.512µs
0 	 20 	 165.907µs
0 	 21 	 165.987µs
0 	 22 	 164.634µs
0 	 23 	 198.763µs
0 	 24 	 169.177µs
0 	 25 	 169.738µs
0 	 26 	 165.853µs
0 	 27 	 169.809µs
0 	 28 	 157.288µs
0 	 29 	 159.42µs
0 	 30 	 158.748µs
0 	 31 	 164.743µs
0 	 32 	 154.546µs
0 	 33 	 156.111µs
0 	 34 	 161.13µs
0 	 35 	 184.016µs
0 	 36 	 154.707µs
0 	 37 	 161.073µs
0 	 38 	 158.233µs
0 	 39 	 181.438µs
0 	 40 	 157.513µs
0 	 41 	 160.319µs
0 	 42 	 154.201µs
0 	 43 	 161.041µs
0 	 44 	 157.947µs
0 	 45 	 163.006µs
0 	 46 	 184.835µs
0 	 47 	 158.676µs
0 	 48 	 183.546µs
0 	 49 	 158.438µs
0 	 50 	 182.191µs
0 	 51 	 166.788µs
0 	 52 	 157.521µs
0 	 53 	 164.311µs
0 	 54 	 165.732µs
0 	 55 	 173.381µs
0 	 56 	 166.629µs
0 	 57 	 172.365µs
0 	 58 	 166.259µs
0 	 59 	 165.546µs
0 	 60 	 202.578µs
0 	 61 	 193.537µs
0 	 62 	 215.467µs
0 	 63 	 194.882µs
0 	 64 	 179.941µs
0 	 65 	 177.3µs
0 	 66 	 181.17µs
0 	 67 	 179.07µs
0 	 68 	 191.668µs
0 	 69 	 176.227µs
0 	 70 	 176.774µs
0 	 71 	 179.596µs
0 	 72 	 174.508µs
0 	 73 	 179µs
0 	 74 	 175.14µs
0 	 75 	 178.898µs
0 	 76 	 185.393µs
0 	 77 	 173.74µs
0 	 78 	 174.648µs
0 	 79 	 173.038µs
0 	 80 	 174.857µs
0 	 81 	 176.233µs
0 	 82 	 174.441µs
0 	 83 	 174.895µs
0 	 84 	 179.292µs
0 	 85 	 177.95µs
0 	 86 	 178.43µs
0 	 87 	 174.208µs
0 	 88 	 176.418µs
0 	 89 	 176.365µs
0 	 90 	 176.375µs
0 	 91 	 172.798µs
0 	 92 	 176.352µs
0 	 93 	 178.017µs
0 	 94 	 174.2µs
0 	 95 	 186.367µs
0 	 96 	 178.463µs
0 	 97 	 173.991µs
0 	 98 	 178.79µs
0 	 99 	 174.441µs
0 	 100 	 176.952µs
0 	 101 	 200.974µs
0 	 102 	 176.31µs
0 	 103 	 172.287µs
0 	 104 	 178.67µs
0 	 105 	 174.345µs
0 	 106 	 174.185µs
0 	 107 	 178.587µs
0 	 108 	 180.478µs
0 	 109 	 176.282µs
0 	 110 	 180.345µs
0 	 111 	 177.075µs
0 	 112 	 176.067µs
0 	 113 	 173.03µs
0 	 114 	 177.082µs
0 	 115 	 173.217µs
0 	 116 	 179.978µs
0 	 117 	 175.582µs
0 	 118 	 173.48µs
0 	 119 	 190.695µs
0 	 120 	 175.05µs
0 	 121 	 177.622µs
0 	 122 	 176.795µs
0 	 123 	 180.948µs
0 	 124 	 181.498µs
0 	 125 	 172.913µs
0 	 126 	 183.62µs
0 	 127 	 190.105µs
0 	 128 	 177.977µs
0 	 129 	 178.292µs
0 	 130 	 177.553µs
0 	 131 	 174.147µs
0 	 132 	 179.15µs
0 	 133 	 172.768µs
0 	 134 	 191.068µs
0 	 135 	 175.003µs
0 	 136 	 176.158µs
0 	 137 	 174.195µs
0 	 138 	 179.317µs
0 	 139 	 172.057µs
0 	 140 	 175.613µs
0 	 141 	 173.94µs
0 	 142 	 175.973µs
0 	 143 	 173.458µs
0 	 144 	 174.398µs
0 	 145 	 173.607µs
0 	 146 	 176.997µs
0 	 147 	 173.382µs
0 	 148 	 172.295µs
0 	 149 	 171.818µs
0 	 150 	 179.3µs
0 	 151 	 202.272µs
0 	 152 	 187.72µs
0 	 153 	 175.725µs
0 	 154 	 174.726µs
0 	 155 	 174.663µs
0 	 156 	 179.223µs
0 	 157 	 173.795µs
0 	 158 	 179.373µs
0 	 159 	 189.905µs
0 	 160 	 179.096µs
0 	 161 	 177.328µs
0 	 162 	 144.121µs
0 	 163 	 141.286µs
0 	 164 	 137.718µs
0 	 165 	 139.986µs
0 	 166 	 139.596µs
0 	 167 	 141.921µs
0 	 168 	 146.983µs
0 	 169 	 136.346µs
0 	 170 	 180.741µs
0 	 171 	 180.03µs
0 	 172 	 189.467µs
0 	 173 	 177.825µs
0 	 174 	 175.595µs
0 	 175 	 178.3µs
0 	 176 	 187.763µs
0 	 177 	 171.85µs
0 	 178 	 176.433µs
0 	 179 	 174.424µs
0 	 180 	 177.822µs
0 	 181 	 176.238µs
0 	 182 	 175.163µs
0 	 183 	 171.732µs
0 	 184 	 175.063µs
0 	 185 	 173.233µs
0 	 186 	 176.572µs
0 	 187 	 178.028µs
0 	 188 	 176.547µs
0 	 189 	 174.195µs
0 	 190 	 176.958µs
0 	 191 	 189.417µs
0 	 192 	 181.713µs
0 	 193 	 214.684µs
0 	 194 	 223.247µs
0 	 195 	 239.949µs
0 	 196 	 236.866µs
0 	 197 	 206.847µs
0 	 198 	 177.317µs
0 	 199 	 177.298µs
0 	 200 	 173.813µs
0 	 201 	 144.411µs
0 	 202 	 143.406µs
0 	 203 	 136.778µs
0 	 204 	 138.843µs
0 	 205 	 136.291µs
0 	 206 	 139.126µs
0 	 207 	 136.982µs
0 	 208 	 135.658µs
0 	 209 	 155.35µs
0 	 210 	 172.677µs
0 	 211 	 177.567µs
0 	 212 	 173.568µs
0 	 213 	 174.223µs
0 	 214 	 173.65µs
0 	 215 	 190.347µs
0 	 216 	 172.715µs
0 	 217 	 176.107µs
0 	 218 	 172.303µs
0 	 219 	 179.973µs
0 	 220 	 178.178µs
0 	 221 	 177.145µs
0 	 222 	 177.68µs
0 	 223 	 189.518µs
0 	 224 	 175.6µs
0 	 225 	 173.36µs
0 	 226 	 185.285µs
0 	 227 	 172.523µs
0 	 228 	 175.635µs
0 	 229 	 181.168µs
0 	 230 	 175.57µs
0 	 231 	 171.763µs
