ConnID	RqstID	Latency
0 	 0 	 121.581µs
0 	 1 	 118.545µs
0 	 2 	 121.967µs
0 	 3 	 122.418µs
0 	 4 	 125.659µs
0 	 5 	 70.727µs
0 	 6 	 51.247µs
0 	 7 	 49.978µs
0 	 8 	 52.797µs
0 	 9 	 49.198µs
0 	 10 	 44.418µs
0 	 11 	 49.511µs
0 	 12 	 44.812µs
0 	 13 	 49.422µs
0 	 14 	 44.311µs
0 	 15 	 55.968µs
0 	 16 	 44.185µs
0 	 17 	 63.78µs
0 	 18 	 47.026µs
0 	 19 	 48.126µs
0 	 20 	 53.371µs
0 	 21 	 49.752µs
0 	 22 	 44.442µs
0 	 23 	 50.254µs
0 	 24 	 44.391µs
0 	 25 	 50.35µs
0 	 26 	 44.294µs
0 	 27 	 55.678µs
0 	 28 	 44.082µs
0 	 29 	 63.393µs
0 	 30 	 46.632µs
0 	 31 	 55.222µs
0 	 32 	 64.32µs
0 	 33 	 44.582µs
0 	 34 	 43.241µs
0 	 35 	 46.348µs
0 	 36 	 48.503µs
0 	 37 	 53.241µs
0 	 38 	 49.403µs
0 	 39 	 44.594µs
0 	 40 	 49.911µs
0 	 41 	 44.303µs
0 	 42 	 50.225µs
0 	 43 	 44.096µs
0 	 44 	 49.868µs
0 	 45 	 44.034µs
0 	 46 	 49.452µs
0 	 47 	 50.973µs
0 	 48 	 57.916µs
0 	 49 	 46.893µs
0 	 50 	 48.016µs
0 	 51 	 52.837µs
0 	 52 	 49.468µs
0 	 53 	 44.111µs
0 	 54 	 50.271µs
0 	 55 	 44.324µs
0 	 56 	 49.537µs
0 	 57 	 43.964µs
0 	 58 	 49.707µs
0 	 59 	 43.772µs
0 	 60 	 56.432µs
0 	 61 	 43.902µs
0 	 62 	 63.339µs
0 	 63 	 54.269µs
0 	 64 	 52.159µs
0 	 65 	 60.355µs
0 	 66 	 121.434µs
0 	 67 	 48.018µs
0 	 68 	 48.715µs
0 	 69 	 52.767µs
0 	 70 	 49.358µs
0 	 71 	 44.345µs
0 	 72 	 50.023µs
0 	 73 	 50.343µs
0 	 74 	 58.468µs
0 	 75 	 46.771µs
0 	 76 	 47.192µs
0 	 77 	 52.732µs
0 	 78 	 49.427µs
0 	 79 	 43.955µs
0 	 80 	 49.51µs
0 	 81 	 43.922µs
0 	 82 	 49.398µs
0 	 83 	 44.101µs
0 	 84 	 49.449µs
0 	 85 	 44.035µs
0 	 86 	 50.164µs
0 	 87 	 44.281µs
0 	 88 	 55.955µs
0 	 89 	 44.027µs
0 	 90 	 63.218µs
0 	 91 	 47.115µs
0 	 92 	 47.912µs
0 	 93 	 53.038µs
0 	 94 	 50.134µs
0 	 95 	 50.799µs
0 	 96 	 59.97µs
0 	 97 	 47.218µs
0 	 98 	 48.192µs
0 	 99 	 53.168µs
0 	 100 	 49.081µs
0 	 101 	 43.86µs
0 	 102 	 50.341µs
0 	 103 	 44.582µs
0 	 104 	 50.077µs
0 	 105 	 43.874µs
0 	 106 	 50.128µs
0 	 107 	 44.321µs
0 	 108 	 56.144µs
0 	 109 	 44.275µs
0 	 110 	 63.466µs
0 	 111 	 52.934µs
0 	 112 	 49.838µs
0 	 113 	 53.121µs
0 	 114 	 49.122µs
0 	 115 	 43.962µs
0 	 116 	 49.303µs
0 	 117 	 44.112µs
0 	 118 	 49.381µs
0 	 119 	 44.402µs
0 	 120 	 49.871µs
0 	 121 	 44.091µs
0 	 122 	 50.611µs
0 	 123 	 44.153µs
0 	 124 	 49.649µs
0 	 125 	 44.085µs
0 	 126 	 50.034µs
0 	 127 	 51.545µs
0 	 128 	 61.765µs
0 	 129 	 47.514µs
0 	 130 	 47.803µs
0 	 131 	 53.212µs
0 	 132 	 49.035µs
0 	 133 	 44.325µs
0 	 134 	 49.86µs
0 	 135 	 44µs
0 	 136 	 49.399µs
0 	 137 	 43.545µs
0 	 138 	 49.788µs
0 	 139 	 43.872µs
0 	 140 	 49.499µs
0 	 141 	 43.989µs
0 	 142 	 49.811µs
0 	 143 	 43.531µs
0 	 144 	 49.885µs
0 	 145 	 43.881µs
0 	 146 	 221.154µs
0 	 147 	 198.614µs
0 	 148 	 49.971µs
0 	 149 	 49.925µs
0 	 150 	 53.105µs
0 	 151 	 49.859µs
0 	 152 	 43.576µs
0 	 153 	 49.369µs
0 	 154 	 43.963µs
0 	 155 	 49.726µs
0 	 156 	 43.945µs
0 	 157 	 49.031µs
0 	 158 	 43.904µs
0 	 159 	 56.076µs
0 	 160 	 46.064µs
0 	 161 	 58.591µs
0 	 162 	 47.116µs
0 	 163 	 47.4µs
0 	 164 	 52.319µs
0 	 165 	 48.799µs
0 	 166 	 56.185µs
0 	 167 	 52.672µs
0 	 168 	 43.925µs
0 	 169 	 56.351µs
0 	 170 	 43.555µs
0 	 171 	 46.824µs
0 	 172 	 46.09µs
0 	 173 	 47.378µs
0 	 174 	 52.32µs
0 	 175 	 62.977µs
0 	 176 	 44.61µs
0 	 177 	 56.433µs
0 	 178 	 43.386µs
0 	 179 	 47.011µs
0 	 180 	 46.335µs
0 	 181 	 47.355µs
0 	 182 	 52.297µs
0 	 183 	 49.128µs
0 	 184 	 44.234µs
0 	 185 	 49.557µs
0 	 186 	 43.675µs
0 	 187 	 49.345µs
0 	 188 	 43.17µs
0 	 189 	 48.915µs
0 	 190 	 43.286µs
0 	 191 	 55.911µs
0 	 192 	 45.687µs
0 	 193 	 57.863µs
0 	 194 	 46.529µs
0 	 195 	 47.085µs
0 	 196 	 52.225µs
0 	 197 	 49.023µs
0 	 198 	 56.729µs
0 	 199 	 53.166µs
0 	 200 	 43.796µs
0 	 201 	 55.939µs
0 	 202 	 43.754µs
0 	 203 	 63.101µs
0 	 204 	 46.191µs
0 	 205 	 47.381µs
0 	 206 	 52.496µs
0 	 207 	 49.337µs
0 	 208 	 44.043µs
0 	 209 	 49.728µs
0 	 210 	 43.582µs
0 	 211 	 49.527µs
0 	 212 	 43.375µs
0 	 213 	 49.345µs
0 	 214 	 43.403µs
0 	 215 	 50.079µs
0 	 216 	 43.527µs
0 	 217 	 50.216µs
0 	 218 	 43.792µs
0 	 219 	 49.776µs
0 	 220 	 43.568µs
0 	 221 	 101.216µs
0 	 222 	 44.554µs
0 	 223 	 63.86µs
0 	 224 	 48.249µs
0 	 225 	 49.813µs
0 	 226 	 52.552µs
0 	 227 	 48.654µs
0 	 228 	 43.852µs
0 	 229 	 49.986µs
0 	 230 	 43.485µs
0 	 231 	 56.128µs
0 	 232 	 43.926µs
0 	 233 	 61.749µs
0 	 234 	 46.982µs
0 	 235 	 47.35µs
0 	 236 	 52.707µs
0 	 237 	 48.72µs
0 	 238 	 43.448µs
0 	 239 	 61.87µs
0 	 240 	 44.05µs
0 	 241 	 61.34µs
0 	 242 	 46.395µs
0 	 243 	 47.303µs
0 	 244 	 52.196µs
0 	 245 	 48.952µs
0 	 246 	 56.485µs
0 	 247 	 49.471µs
0 	 248 	 43.682µs
0 	 249 	 49.219µs
0 	 250 	 43.23µs
0 	 251 	 49.682µs
0 	 252 	 43.908µs
0 	 253 	 49.86µs
0 	 254 	 43.959µs
0 	 255 	 62.832µs
0 	 256 	 49.452µs
0 	 257 	 50.228µs
0 	 258 	 51.355µs
0 	 259 	 48.631µs
0 	 260 	 43.324µs
0 	 261 	 49.287µs
0 	 262 	 43.102µs
0 	 263 	 49.793µs
0 	 264 	 43.575µs
0 	 265 	 48.933µs
0 	 266 	 43.325µs
0 	 267 	 53.277µs
0 	 268 	 44.285µs
0 	 269 	 56.382µs
0 	 270 	 43.712µs
0 	 271 	 61.015µs
0 	 272 	 46.295µs
0 	 273 	 47.636µs
0 	 274 	 51.639µs
0 	 275 	 48.702µs
0 	 276 	 56.45µs
0 	 277 	 60.168µs
0 	 278 	 44.321µs
0 	 279 	 56.264µs
0 	 280 	 43.948µs
0 	 281 	 61.942µs
0 	 282 	 46.565µs
0 	 283 	 46.806µs
0 	 284 	 51.104µs
0 	 285 	 49.287µs
0 	 286 	 57.353µs
0 	 287 	 55.855µs
0 	 288 	 45.675µs
0 	 289 	 58.686µs
0 	 290 	 46.425µs
0 	 291 	 47.124µs
0 	 292 	 52.045µs
0 	 293 	 48.804µs
0 	 294 	 57.265µs
0 	 295 	 49.153µs
0 	 296 	 43.754µs
0 	 297 	 50.098µs
0 	 298 	 43.683µs
0 	 299 	 49.374µs
0 	 300 	 64.452µs
0 	 301 	 45.443µs
0 	 302 	 46.637µs
