ConnID	RqstID	Latency
0 	 0 	 198.679µs
0 	 1 	 286.366µs
0 	 2 	 249.763µs
0 	 3 	 246.009µs
0 	 4 	 302.846µs
0 	 5 	 303.949µs
0 	 6 	 294.906µs
0 	 7 	 315.306µs
0 	 8 	 323.992µs
0 	 9 	 378.511µs
0 	 10 	 336.626µs
0 	 11 	 324.908µs
0 	 12 	 336.46µs
0 	 13 	 361.003µs
0 	 14 	 349.915µs
0 	 15 	 361.72µs
0 	 16 	 325.185µs
0 	 17 	 312.185µs
0 	 18 	 307.468µs
0 	 19 	 313.478µs
0 	 20 	 326.999µs
0 	 21 	 361.492µs
0 	 22 	 359.385µs
0 	 23 	 359.016µs
0 	 24 	 358.799µs
0 	 25 	 357.323µs
0 	 26 	 362.268µs
0 	 27 	 331.287µs
0 	 28 	 345.192µs
0 	 29 	 342.269µs
0 	 30 	 315.727µs
0 	 31 	 330.091µs
0 	 32 	 317.378µs
0 	 33 	 339.127µs
0 	 34 	 331.591µs
0 	 35 	 310.044µs
0 	 36 	 314.684µs
0 	 37 	 314.407µs
0 	 38 	 332.947µs
0 	 39 	 352.246µs
0 	 40 	 317.529µs
0 	 41 	 326.166µs
0 	 42 	 321.353µs
0 	 43 	 320.184µs
0 	 44 	 345.73µs
0 	 45 	 336.686µs
0 	 46 	 347.869µs
0 	 47 	 347.561µs
0 	 48 	 322.642µs
0 	 49 	 313.321µs
0 	 50 	 314.093µs
0 	 51 	 329.223µs
0 	 52 	 357.494µs
0 	 53 	 265.064µs
0 	 54 	 316.514µs
0 	 55 	 382.566µs
0 	 56 	 390.55µs
0 	 57 	 377.639µs
0 	 58 	 353.044µs
0 	 59 	 357.324µs
0 	 60 	 358.077µs
0 	 61 	 386.174µs
0 	 62 	 325.823µs
0 	 63 	 353.252µs
0 	 64 	 347.729µs
0 	 65 	 335.967µs
0 	 66 	 338.822µs
0 	 67 	 330.058µs
0 	 68 	 354.651µs
0 	 69 	 311.76µs
0 	 70 	 289.136µs
0 	 71 	 280.948µs
0 	 72 	 306.544µs
0 	 73 	 294.415µs
0 	 74 	 309.005µs
0 	 75 	 351.902µs
0 	 76 	 299.324µs
0 	 77 	 308.021µs
0 	 78 	 292.297µs
0 	 79 	 286.827µs
0 	 80 	 285.837µs
0 	 81 	 302.822µs
0 	 82 	 288.69µs
0 	 83 	 317.998µs
0 	 84 	 311.459µs
0 	 85 	 320.251µs
0 	 86 	 318.683µs
0 	 87 	 320.973µs
0 	 88 	 289.495µs
0 	 89 	 278.887µs
0 	 90 	 335.618µs
0 	 91 	 314.792µs
0 	 92 	 312.271µs
0 	 93 	 303.388µs
0 	 94 	 316.406µs
0 	 95 	 328.8µs
0 	 96 	 315.671µs
0 	 97 	 312.542µs
0 	 98 	 306.694µs
0 	 99 	 317.079µs
0 	 100 	 305.678µs
0 	 101 	 301.002µs
0 	 102 	 358.097µs
0 	 103 	 336.585µs
0 	 104 	 341.154µs
0 	 105 	 345.455µs
0 	 106 	 346.972µs
0 	 107 	 349.546µs
0 	 108 	 283.71µs
0 	 109 	 308.214µs
0 	 110 	 284.761µs
0 	 111 	 333.854µs
0 	 112 	 343.896µs
0 	 113 	 315.928µs
0 	 114 	 328.868µs
0 	 115 	 363.77µs
0 	 116 	 363.678µs
0 	 117 	 348.583µs
0 	 118 	 291.702µs
0 	 119 	 311.497µs
0 	 120 	 313.106µs
0 	 121 	 306.488µs
0 	 122 	 315.579µs
0 	 123 	 316.253µs
0 	 124 	 331.335µs
0 	 125 	 309.474µs
0 	 126 	 301.852µs
0 	 127 	 347.018µs
0 	 128 	 316.384µs
0 	 129 	 321.165µs
0 	 130 	 402.466µs
0 	 131 	 354.903µs
0 	 132 	 342.807µs
0 	 133 	 367.929µs
0 	 134 	 310.326µs
0 	 135 	 312.52µs
0 	 136 	 309.202µs
0 	 137 	 289.889µs
0 	 138 	 284.804µs
0 	 139 	 304.04µs
0 	 140 	 338.465µs
0 	 141 	 352.935µs
0 	 142 	 312.936µs
0 	 143 	 321.967µs
0 	 144 	 340.924µs
0 	 145 	 341.852µs
0 	 146 	 338.143µs
0 	 147 	 345.877µs
0 	 148 	 315.63µs
0 	 149 	 330.576µs
0 	 150 	 324.911µs
0 	 151 	 349.133µs
0 	 152 	 405.029µs
0 	 153 	 354.862µs
0 	 154 	 368.427µs
0 	 155 	 387.991µs
0 	 156 	 394.826µs
0 	 157 	 378.456µs
0 	 158 	 316.675µs
0 	 159 	 354.143µs
0 	 160 	 358.936µs
0 	 161 	 348.367µs
0 	 162 	 368.789µs
0 	 163 	 300.817µs
0 	 164 	 297.594µs
0 	 165 	 307.95µs
0 	 166 	 300.357µs
0 	 167 	 299.051µs
0 	 168 	 323.904µs
0 	 169 	 293.697µs
0 	 170 	 290.701µs
0 	 171 	 315.96µs
0 	 172 	 265.739µs
0 	 173 	 320.84µs
0 	 174 	 324.738µs
0 	 175 	 318.787µs
0 	 176 	 313.729µs
0 	 177 	 293.982µs
0 	 178 	 289.737µs
0 	 179 	 288.211µs
0 	 180 	 304.112µs
0 	 181 	 307.259µs
0 	 182 	 355.467µs
0 	 183 	 362.518µs
0 	 184 	 359.178µs
0 	 185 	 348.823µs
0 	 186 	 344.326µs
0 	 187 	 351.812µs
0 	 188 	 353.788µs
0 	 189 	 319.232µs
0 	 190 	 323.563µs
0 	 191 	 331.059µs
0 	 192 	 313.894µs
0 	 193 	 331.069µs
0 	 194 	 345.989µs
0 	 195 	 337.574µs
0 	 196 	 327.289µs
0 	 197 	 310.459µs
0 	 198 	 326.181µs
0 	 199 	 367.697µs
0 	 200 	 367.868µs
0 	 201 	 390.747µs
0 	 202 	 308.472µs
0 	 203 	 329.8µs
0 	 204 	 285.346µs
0 	 205 	 277.968µs
0 	 206 	 279.872µs
0 	 207 	 317.609µs
0 	 208 	 318.116µs
0 	 209 	 331.954µs
0 	 210 	 313.974µs
0 	 211 	 319.074µs
0 	 212 	 323.957µs
0 	 213 	 320.15µs
0 	 214 	 313.92µs
0 	 215 	 368.722µs
0 	 216 	 346.713µs
0 	 217 	 283.91µs
0 	 218 	 289.467µs
0 	 219 	 312.221µs
0 	 220 	 283.979µs
0 	 221 	 292.132µs
0 	 222 	 400.957µs
0 	 223 	 405.766µs
0 	 224 	 360.353µs
0 	 225 	 380.99µs
0 	 226 	 368.041µs
0 	 227 	 358.401µs
0 	 228 	 388.589µs
0 	 229 	 376.961µs
0 	 230 	 365.207µs
0 	 231 	 384.457µs
0 	 232 	 399.059µs
0 	 233 	 413.436µs
0 	 234 	 340.285µs
0 	 235 	 351.392µs
