10ms	1000 	 219.307µs 	 349.543µs 	 436.792µs 	 20.079µs 	 99.9936014494407 	 102393.44788422728 	 204786.89576845456
3ms	1000 	 268.69µs 	 377.118µs 	 560.478µs 	 34.678µs 	 333.2638390469443 	 341262.171184071 	 682524.342368142
1ms	1000 	 214.178µs 	 311.19µs 	 429.041µs 	 33.269µs 	 999.3301859515736 	 1.0233141104144114e+06 	 2.0466282208288228e+06
300us	1000 	 180.926µs 	 317.785µs 	 1.222148ms 	 54.926µs 	 3312.2457112371803 	 3.3917396083068727e+06 	 6.783479216613745e+06
100us	1000 	 68.377µs 	 133.007µs 	 388.036µs 	 42.867µs 	 9339.263018208854 	 9.563405330645867e+06 	 1.9126810661291733e+07
30us	1000 	 67.315µs 	 101.611µs 	 267.944µs 	 31.054µs 	 14203.15096335996 	 1.4544026586480599e+07 	 2.9088053172961198e+07
10us	1000 	 64.6µs 	 97.273µs 	 345.669µs 	 30.186µs 	 15728.468748633592 	 1.6105951998600798e+07 	 3.2211903997201595e+07
3us	1000 	 68.571µs 	 88.398µs 	 277.577µs 	 16.929µs 	 15968.872196804212 	 1.6352125129527513e+07 	 3.2704250259055026e+07
1us	1000 	 72.678µs 	 122.608µs 	 1.010419ms 	 88.167µs 	 14647.094944988734 	 1.4998625223668464e+07 	 2.9997250447336927e+07
300ns	1000 	 72.036µs 	 117.054µs 	 1.140317ms 	 85.189µs 	 14677.486596666016 	 1.5029746274986e+07 	 3.0059492549972e+07
100ns	1000 	 68.044µs 	 88.914µs 	 385.151µs 	 26.476µs 	 16313.840708135536 	 1.670537288513079e+07 	 3.341074577026158e+07
30ns	1000 	 72.477µs 	 110.298µs 	 1.069167ms 	 40.589µs 	 14090.229858569457 	 1.4428395375175124e+07 	 2.8856790750350248e+07
10ns	1000 	 72.63µs 	 90.667µs 	 348.618µs 	 24.192µs 	 16523.823172487464 	 1.6920394928627163e+07 	 3.384078985725433e+07
3ns	1000 	 71.677µs 	 93.27µs 	 358.922µs 	 23.867µs 	 15811.195104044462 	 1.6190663786541529e+07 	 3.2381327573083058e+07
1ns	1000 	 69.888µs 	 96.83µs 	 286.179µs 	 24.8µs 	 15569.802374522536 	 1.5943477631511077e+07 	 3.1886955263022155e+07
0ns	1000 	 2.094902ms 	 3.189281ms 	 4.881363ms 	 922.971µs 	 121504.66025049158 	 1.2442077209650338e+08 	 2.4884154419300675e+08
