16	1000 	 237.04µs 	 378.323µs 	 579.096µs 	 44.604µs 	 999.3836840795628 	 127921.11156218404 	 2.0467377849949447e+06
32	1000 	 230.925µs 	 373.332µs 	 601.1µs 	 38.186µs 	 999.336786144528 	 255830.21725299917 	 2.0466417380239933e+06
64	1000 	 207.359µs 	 385.083µs 	 667.984µs 	 35.394µs 	 999.2788743974068 	 511630.78369147226 	 2.046523134765889e+06
128	1000 	 225.661µs 	 369.259µs 	 586.65µs 	 45.489µs 	 999.3373793572434 	 1.0233214764618173e+06 	 2.0466429529236346e+06
256	1000 	 279.709µs 	 366.838µs 	 603.697µs 	 35.814µs 	 999.4241997369572 	 2.0468207610612884e+06 	 2.0468207610612884e+06
512	1000 	 206.62µs 	 359.953µs 	 615.663µs 	 43.432µs 	 999.4314624188569 	 4.093671270067638e+06 	 2.046835635033819e+06
1024	1000 	 263.012µs 	 389.965µs 	 512.632µs 	 41.443µs 	 999.28782255818 	 8.18616584239661e+06 	 2.0465414605991526e+06
2048	1000 	 247.132µs 	 365.307µs 	 1.354683ms 	 51.933µs 	 999.2024775497215 	 1.6370933392174637e+07 	 2.0463666740218296e+06
4096	1000 	 269.685µs 	 390.597µs 	 1.458082ms 	 52.488µs 	 999.2178142934068 	 3.2742369338766355e+07 	 2.0463980836728972e+06
8192	1000 	 317.784µs 	 462.99µs 	 1.479909ms 	 61.522µs 	 999.3390551370353 	 6.5492684317460746e+07 	 2.0466463849206483e+06
16384	1000 	 393.592µs 	 528.607µs 	 1.624944ms 	 83.458µs 	 999.2823294209624 	 1.3097793348186438e+08 	 2.046530210654131e+06
32768	1000 	 433.295µs 	 584.256µs 	 1.726621ms 	 117.699µs 	 999.3556404669179 	 2.6197508501455972e+08 	 2.0466803516762478e+06
65536	1000 	 694.93µs 	 830.622µs 	 1.917416ms 	 112.467µs 	 999.4365466586538 	 5.239925881745723e+08 	 2.046846047556923e+06
131072	1000 	 1.624754ms 	 21.315571ms 	 27.950218ms 	 5.446925ms 	 896.8842540573388 	 9.404513035824281e+08 	 1.8368189523094299e+06
262144	1000 	 2.94179ms 	 26.193578ms 	 31.675018ms 	 3.681114ms 	 448.13710835853414 	 9.398116330683166e+08 	 917784.7979182779
