ConnID	RqstID	Latency
0 	 0 	 345.111µs
0 	 1 	 303.528µs
0 	 2 	 278.487µs
0 	 3 	 347.014µs
0 	 4 	 332.608µs
0 	 5 	 331.067µs
0 	 6 	 334.307µs
0 	 7 	 350.817µs
0 	 8 	 316.755µs
0 	 9 	 320.444µs
0 	 10 	 318.303µs
0 	 11 	 301.864µs
0 	 12 	 346.89µs
0 	 13 	 355.077µs
0 	 14 	 274.203µs
0 	 15 	 345.386µs
0 	 16 	 340.307µs
0 	 17 	 247.273µs
0 	 18 	 398.547µs
0 	 19 	 356.893µs
0 	 20 	 311.265µs
0 	 21 	 321.407µs
0 	 22 	 326.131µs
0 	 23 	 312.701µs
0 	 24 	 327.238µs
0 	 25 	 323.372µs
0 	 26 	 310.428µs
0 	 27 	 351.877µs
0 	 28 	 317.22µs
0 	 29 	 330.67µs
0 	 30 	 327.078µs
0 	 31 	 329.127µs
0 	 32 	 285.572µs
0 	 33 	 349.931µs
0 	 34 	 294.353µs
0 	 35 	 244.461µs
0 	 36 	 283.497µs
0 	 37 	 310.914µs
0 	 38 	 322.666µs
0 	 39 	 225.136µs
0 	 40 	 323.203µs
0 	 41 	 367.526µs
0 	 42 	 385.46µs
0 	 43 	 365.793µs
0 	 44 	 372.537µs
0 	 45 	 326.561µs
0 	 46 	 327.184µs
0 	 47 	 331.786µs
0 	 48 	 355.671µs
0 	 49 	 348.215µs
0 	 50 	 333.011µs
0 	 51 	 329.811µs
0 	 52 	 341.636µs
0 	 53 	 367.112µs
0 	 54 	 360.191µs
0 	 55 	 355.096µs
0 	 56 	 273.954µs
0 	 57 	 305.977µs
0 	 58 	 305.502µs
0 	 59 	 311.054µs
0 	 60 	 338.508µs
0 	 61 	 266.647µs
0 	 62 	 238.416µs
0 	 63 	 253.834µs
0 	 64 	 307.07µs
0 	 65 	 334.389µs
0 	 66 	 276.397µs
0 	 67 	 233.439µs
0 	 68 	 366.024µs
0 	 69 	 389.67µs
0 	 70 	 372.778µs
0 	 71 	 405.474µs
0 	 72 	 407.232µs
0 	 73 	 369.49µs
0 	 74 	 384.358µs
0 	 75 	 320.106µs
0 	 76 	 406.426µs
0 	 77 	 384.071µs
0 	 78 	 331.299µs
0 	 79 	 347.616µs
0 	 80 	 361.608µs
0 	 81 	 304.987µs
0 	 82 	 349.003µs
0 	 83 	 326.877µs
0 	 84 	 332.415µs
0 	 85 	 331.858µs
0 	 86 	 326.874µs
0 	 87 	 310.919µs
0 	 88 	 342.314µs
0 	 89 	 321.16µs
0 	 90 	 340.963µs
0 	 91 	 346.553µs
0 	 92 	 319.786µs
0 	 93 	 320.495µs
0 	 94 	 327.908µs
0 	 95 	 341.039µs
0 	 96 	 318.294µs
0 	 97 	 324.805µs
0 	 98 	 332.607µs
0 	 99 	 289.054µs
0 	 100 	 357.075µs
0 	 101 	 426.611µs
0 	 102 	 213.31µs
0 	 103 	 324.778µs
0 	 104 	 251.616µs
0 	 105 	 222.426µs
0 	 106 	 220.278µs
0 	 107 	 231.561µs
0 	 108 	 218.412µs
0 	 109 	 218.982µs
0 	 110 	 215.228µs
0 	 111 	 214.294µs
0 	 112 	 203.93µs
0 	 113 	 202.26µs
0 	 114 	 210.715µs
0 	 115 	 161.663µs
0 	 116 	 180.083µs
0 	 117 	 207.002µs
0 	 118 	 208.018µs
0 	 119 	 206.472µs
0 	 120 	 205.799µs
0 	 121 	 209.672µs
0 	 122 	 218.41µs
0 	 123 	 290.858µs
0 	 124 	 293.9µs
0 	 125 	 326.884µs
0 	 126 	 320.938µs
0 	 127 	 348.271µs
0 	 128 	 320.946µs
0 	 129 	 340.441µs
0 	 130 	 216.209µs
0 	 131 	 326.288µs
0 	 132 	 298.955µs
0 	 133 	 350.09µs
0 	 134 	 383.58µs
0 	 135 	 326.012µs
0 	 136 	 345.069µs
0 	 137 	 295.645µs
0 	 138 	 249.144µs
0 	 139 	 282.571µs
0 	 140 	 316.23µs
0 	 141 	 326.66µs
0 	 142 	 339.444µs
0 	 143 	 299.199µs
0 	 144 	 344.355µs
0 	 145 	 376.514µs
0 	 146 	 275.678µs
0 	 147 	 271.809µs
0 	 148 	 309.831µs
0 	 149 	 313.33µs
0 	 150 	 339.206µs
0 	 151 	 324.696µs
0 	 152 	 329.697µs
0 	 153 	 319.921µs
0 	 154 	 326.692µs
0 	 155 	 289.872µs
0 	 156 	 200.599µs
0 	 157 	 304.933µs
0 	 158 	 324.383µs
0 	 159 	 341.381µs
0 	 160 	 330.092µs
0 	 161 	 311.909µs
0 	 162 	 339.527µs
0 	 163 	 287.71µs
0 	 164 	 215.804µs
0 	 165 	 347.195µs
0 	 166 	 331.516µs
0 	 167 	 334.397µs
0 	 168 	 344.715µs
0 	 169 	 304.662µs
0 	 170 	 328.564µs
0 	 171 	 353.217µs
0 	 172 	 219.583µs
0 	 173 	 247.535µs
0 	 174 	 272.615µs
0 	 175 	 222.853µs
0 	 176 	 218.4µs
0 	 177 	 219.411µs
0 	 178 	 210.969µs
0 	 179 	 226.935µs
0 	 180 	 218.301µs
0 	 181 	 215.143µs
0 	 182 	 237.386µs
0 	 183 	 257.718µs
0 	 184 	 214.116µs
0 	 185 	 190.866µs
0 	 186 	 235.97µs
0 	 187 	 223.703µs
0 	 188 	 280.531µs
0 	 189 	 223.71µs
0 	 190 	 194.72µs
0 	 191 	 233.556µs
0 	 192 	 209.966µs
0 	 193 	 223.557µs
0 	 194 	 224.868µs
0 	 195 	 219.426µs
0 	 196 	 225.175µs
0 	 197 	 222.985µs
0 	 198 	 272.21µs
0 	 199 	 206.415µs
0 	 200 	 245.434µs
0 	 201 	 216.647µs
0 	 202 	 220.468µs
0 	 203 	 236.45µs
0 	 204 	 219.814µs
0 	 205 	 209.557µs
0 	 206 	 245.947µs
0 	 207 	 216.982µs
0 	 208 	 227.81µs
0 	 209 	 211.937µs
0 	 210 	 219.197µs
0 	 211 	 218.703µs
0 	 212 	 243.571µs
0 	 213 	 203.479µs
0 	 214 	 224.2µs
0 	 215 	 220.796µs
0 	 216 	 225.402µs
0 	 217 	 227.518µs
0 	 218 	 213.498µs
0 	 219 	 221.35µs
0 	 220 	 223.717µs
0 	 221 	 270.167µs
0 	 222 	 218.661µs
0 	 223 	 289.809µs
0 	 224 	 255.97µs
0 	 225 	 281.862µs
0 	 226 	 309.135µs
0 	 227 	 325.354µs
0 	 228 	 325.715µs
0 	 229 	 332.616µs
0 	 230 	 288.01µs
0 	 231 	 258.896µs
0 	 232 	 271.562µs
0 	 233 	 272.163µs
0 	 234 	 272.899µs
0 	 235 	 270.584µs
0 	 236 	 273.381µs
0 	 237 	 327.181µs
0 	 238 	 297.446µs
0 	 239 	 298.33µs
0 	 240 	 317.359µs
0 	 241 	 308.879µs
0 	 242 	 258.017µs
0 	 243 	 272.19µs
0 	 244 	 280.218µs
0 	 245 	 283.516µs
0 	 246 	 270.512µs
0 	 247 	 274.129µs
0 	 248 	 273.195µs
0 	 249 	 259.197µs
0 	 250 	 297.187µs
0 	 251 	 436.715µs
0 	 252 	 275.317µs
0 	 253 	 259.441µs
0 	 254 	 289.899µs
0 	 255 	 264.759µs
0 	 256 	 271.503µs
0 	 257 	 286.588µs
0 	 258 	 255.229µs
0 	 259 	 260.466µs
0 	 260 	 306.048µs
0 	 261 	 226.617µs
0 	 262 	 331.869µs
0 	 263 	 336.561µs
0 	 264 	 353.123µs
0 	 265 	 327.166µs
0 	 266 	 311.117µs
0 	 267 	 323.582µs
0 	 268 	 260.643µs
0 	 269 	 287.1µs
0 	 270 	 260.181µs
0 	 271 	 284.034µs
0 	 272 	 246.218µs
0 	 273 	 251.697µs
0 	 274 	 354.433µs
0 	 275 	 314.975µs
0 	 276 	 286.977µs
0 	 277 	 353.126µs
0 	 278 	 343.582µs
0 	 279 	 343.818µs
0 	 280 	 230.929µs
0 	 281 	 220.734µs
0 	 282 	 200.653µs
0 	 283 	 214.352µs
0 	 284 	 219.886µs
0 	 285 	 204.961µs
0 	 286 	 210.414µs
0 	 287 	 223.607µs
0 	 288 	 207.421µs
0 	 289 	 210.388µs
0 	 290 	 210.78µs
0 	 291 	 248.84µs
0 	 292 	 275.56µs
0 	 293 	 333.907µs
0 	 294 	 313.317µs
0 	 295 	 341.989µs
0 	 296 	 306.833µs
0 	 297 	 355.275µs
0 	 298 	 212.882µs
0 	 299 	 221.718µs
0 	 300 	 214.247µs
0 	 301 	 210.511µs
0 	 302 	 201.916µs
0 	 303 	 202.324µs
0 	 304 	 204.389µs
0 	 305 	 208.269µs
0 	 306 	 210.914µs
0 	 307 	 214.294µs
0 	 308 	 186.629µs
0 	 309 	 196.494µs
0 	 310 	 215.454µs
0 	 311 	 294.876µs
0 	 312 	 206.721µs
0 	 313 	 208.169µs
0 	 314 	 262.86µs
0 	 315 	 245.624µs
0 	 316 	 240.548µs
0 	 317 	 245.323µs
0 	 318 	 253.85µs
0 	 319 	 283.187µs
0 	 320 	 234.181µs
0 	 321 	 230.023µs
0 	 322 	 217.887µs
0 	 323 	 247.854µs
0 	 324 	 246.047µs
0 	 325 	 226.38µs
0 	 326 	 261.557µs
0 	 327 	 237.754µs
0 	 328 	 274.16µs
0 	 329 	 254.656µs
0 	 330 	 321.565µs
0 	 331 	 253.058µs
0 	 332 	 350.409µs
0 	 333 	 343.573µs
0 	 334 	 278.147µs
0 	 335 	 230.473µs
0 	 336 	 246.24µs
0 	 337 	 376.831µs
0 	 338 	 300.429µs
0 	 339 	 296.669µs
0 	 340 	 362.158µs
0 	 341 	 357.201µs
0 	 342 	 335.988µs
0 	 343 	 246.868µs
0 	 344 	 284.503µs
0 	 345 	 247.467µs
0 	 346 	 246.505µs
0 	 347 	 252.215µs
0 	 348 	 246.391µs
0 	 349 	 286.053µs
0 	 350 	 248.103µs
0 	 351 	 256.469µs
0 	 352 	 231.933µs
0 	 353 	 280.079µs
0 	 354 	 206.33µs
0 	 355 	 207.291µs
0 	 356 	 245.545µs
0 	 357 	 274.926µs
0 	 358 	 207.188µs
0 	 359 	 403.203µs
0 	 360 	 231.021µs
0 	 361 	 223.75µs
0 	 362 	 328.882µs
0 	 363 	 323.266µs
0 	 364 	 411.025µs
0 	 365 	 207.379µs
0 	 366 	 353.757µs
0 	 367 	 293.047µs
0 	 368 	 410.843µs
0 	 369 	 377.365µs
0 	 370 	 374.76µs
0 	 371 	 365.982µs
0 	 372 	 318.409µs
0 	 373 	 338.605µs
0 	 374 	 250.369µs
0 	 375 	 243.125µs
0 	 376 	 261.226µs
0 	 377 	 346.936µs
0 	 378 	 332.115µs
0 	 379 	 321.053µs
0 	 380 	 335.503µs
0 	 381 	 338.759µs
0 	 382 	 240.047µs
0 	 383 	 346.557µs
0 	 384 	 237.128µs
0 	 385 	 270.88µs
0 	 386 	 238.672µs
0 	 387 	 250.996µs
0 	 388 	 309.264µs
0 	 389 	 244.221µs
0 	 390 	 250.289µs
0 	 391 	 272.343µs
0 	 392 	 310.299µs
0 	 393 	 245.887µs
0 	 394 	 346.797µs
0 	 395 	 384.894µs
0 	 396 	 333.987µs
0 	 397 	 251.025µs
0 	 398 	 315.742µs
0 	 399 	 334.452µs
0 	 400 	 311.485µs
0 	 401 	 214.924µs
0 	 402 	 323.483µs
0 	 403 	 280.285µs
0 	 404 	 335.783µs
0 	 405 	 336.552µs
0 	 406 	 350.268µs
0 	 407 	 312.905µs
0 	 408 	 311.504µs
0 	 409 	 462.697µs
0 	 410 	 250.486µs
0 	 411 	 254.303µs
0 	 412 	 281.567µs
0 	 413 	 216.597µs
0 	 414 	 325.264µs
0 	 415 	 277.618µs
0 	 416 	 227.107µs
0 	 417 	 286.256µs
0 	 418 	 297.83µs
0 	 419 	 225.078µs
0 	 420 	 243.843µs
0 	 421 	 274.465µs
0 	 422 	 321.652µs
0 	 423 	 217.207µs
0 	 424 	 286.213µs
0 	 425 	 268.945µs
0 	 426 	 209.615µs
0 	 427 	 238.337µs
0 	 428 	 243.96µs
0 	 429 	 223.674µs
0 	 430 	 229.004µs
0 	 431 	 224.998µs
0 	 432 	 223.032µs
0 	 433 	 254.532µs
0 	 434 	 238.238µs
0 	 435 	 247.311µs
0 	 436 	 227.289µs
0 	 437 	 221.623µs
0 	 438 	 209.778µs
0 	 439 	 234.774µs
0 	 440 	 252.353µs
0 	 441 	 305.071µs
0 	 442 	 343.811µs
0 	 443 	 396.303µs
0 	 444 	 398.517µs
0 	 445 	 336.504µs
0 	 446 	 360.498µs
0 	 447 	 393.07µs
0 	 448 	 334.26µs
0 	 449 	 340.544µs
0 	 450 	 398.973µs
0 	 451 	 382.17µs
0 	 452 	 349.083µs
0 	 453 	 343.747µs
0 	 454 	 319.142µs
0 	 455 	 338.904µs
0 	 456 	 343.133µs
0 	 457 	 360.042µs
0 	 458 	 354.626µs
0 	 459 	 273.944µs
0 	 460 	 306.162µs
0 	 461 	 339.372µs
0 	 462 	 315.137µs
0 	 463 	 372.871µs
0 	 464 	 339.215µs
0 	 465 	 346.53µs
0 	 466 	 282.458µs
0 	 467 	 276.619µs
0 	 468 	 274.111µs
0 	 469 	 277.724µs
0 	 470 	 305.934µs
0 	 471 	 289.71µs
0 	 472 	 301.774µs
0 	 473 	 294.487µs
0 	 474 	 295.293µs
0 	 475 	 278.565µs
0 	 476 	 259.268µs
0 	 477 	 332.645µs
0 	 478 	 319.633µs
0 	 479 	 277.153µs
0 	 480 	 284.39µs
0 	 481 	 281.128µs
0 	 482 	 279.332µs
0 	 483 	 251.031µs
0 	 484 	 278.947µs
