ConnID	RqstID	Latency
0 	 0 	 114.182µs
0 	 1 	 279.023µs
0 	 2 	 286.945µs
0 	 3 	 289.208µs
0 	 4 	 289.178µs
0 	 5 	 205.275µs
0 	 6 	 326.672µs
0 	 7 	 322.21µs
0 	 8 	 328.955µs
0 	 9 	 320.537µs
0 	 10 	 386.881µs
0 	 11 	 323.17µs
0 	 12 	 292.3µs
0 	 13 	 291.052µs
0 	 14 	 295.642µs
0 	 15 	 299.527µs
0 	 16 	 296.035µs
0 	 17 	 298.187µs
0 	 18 	 284.39µs
0 	 19 	 295.725µs
0 	 20 	 267.977µs
0 	 21 	 266.863µs
0 	 22 	 336.244µs
0 	 23 	 329.837µs
0 	 24 	 327.152µs
0 	 25 	 329.524µs
0 	 26 	 326.592µs
0 	 27 	 331.845µs
0 	 28 	 287.29µs
0 	 29 	 297.304µs
0 	 30 	 333.032µs
0 	 31 	 318.332µs
0 	 32 	 295.822µs
0 	 33 	 332.252µs
0 	 34 	 376.437µs
0 	 35 	 389.131µs
0 	 36 	 373.286µs
0 	 37 	 353.062µs
0 	 38 	 306.652µs
0 	 39 	 292.425µs
0 	 40 	 289.139µs
0 	 41 	 306.897µs
0 	 42 	 333.864µs
0 	 43 	 330.522µs
0 	 44 	 298.984µs
0 	 45 	 344.09µs
0 	 46 	 343.882µs
0 	 47 	 349.344µs
0 	 48 	 348.992µs
0 	 49 	 348.257µs
0 	 50 	 334.947µs
0 	 51 	 319.725µs
0 	 52 	 313.209µs
0 	 53 	 362.219µs
0 	 54 	 334.804µs
0 	 55 	 374.514µs
0 	 56 	 356.704µs
0 	 57 	 363.302µs
0 	 58 	 325.777µs
0 	 59 	 323.879µs
0 	 60 	 334.559µs
0 	 61 	 293.892µs
0 	 62 	 332.022µs
0 	 63 	 296.598µs
0 	 64 	 292.049µs
0 	 65 	 290.083µs
0 	 66 	 330.644µs
0 	 67 	 333.097µs
0 	 68 	 293.592µs
0 	 69 	 294.595µs
0 	 70 	 340.201µs
0 	 71 	 292.848µs
0 	 72 	 293.47µs
0 	 73 	 294.447µs
0 	 74 	 351.457µs
0 	 75 	 328.037µs
0 	 76 	 296.065µs
0 	 77 	 316.232µs
0 	 78 	 340.826µs
0 	 79 	 333.139µs
0 	 80 	 324.03µs
0 	 81 	 317.69µs
0 	 82 	 332.017µs
0 	 83 	 327.459µs
0 	 84 	 299.892µs
0 	 85 	 299.86µs
0 	 86 	 299.745µs
0 	 87 	 260.258µs
0 	 88 	 258.992µs
0 	 89 	 316.1µs
0 	 90 	 316.689µs
0 	 91 	 279.058µs
0 	 92 	 280.985µs
0 	 93 	 305.707µs
0 	 94 	 339.137µs
0 	 95 	 350.912µs
0 	 96 	 288.553µs
0 	 97 	 273.67µs
0 	 98 	 303.882µs
0 	 99 	 270.98µs
0 	 100 	 287.507µs
0 	 101 	 268.742µs
0 	 102 	 263.89µs
0 	 103 	 275.473µs
0 	 104 	 262.732µs
0 	 105 	 336.577µs
0 	 106 	 273.123µs
0 	 107 	 298.885µs
0 	 108 	 332.25µs
0 	 109 	 307.622µs
0 	 110 	 237.56µs
0 	 111 	 249.467µs
0 	 112 	 249.99µs
0 	 113 	 265.921µs
0 	 114 	 249.896µs
0 	 115 	 242.62µs
0 	 116 	 241.924µs
0 	 117 	 265.025µs
0 	 118 	 230.856µs
0 	 119 	 269.544µs
0 	 120 	 262.724µs
0 	 121 	 255.38µs
0 	 122 	 276.946µs
0 	 123 	 266.905µs
0 	 124 	 280.281µs
0 	 125 	 263.904µs
0 	 126 	 291.447µs
0 	 127 	 300.685µs
0 	 128 	 335.041µs
0 	 129 	 304.791µs
0 	 130 	 314.133µs
0 	 131 	 305.864µs
0 	 132 	 306.387µs
0 	 133 	 309.536µs
0 	 134 	 258.437µs
0 	 135 	 255.687µs
0 	 136 	 261.747µs
0 	 137 	 264.009µs
0 	 138 	 278.086µs
0 	 139 	 235.821µs
0 	 140 	 248.304µs
0 	 141 	 235.203µs
0 	 142 	 263.17µs
0 	 143 	 228.889µs
0 	 144 	 230.484µs
0 	 145 	 274.933µs
0 	 146 	 274.306µs
0 	 147 	 272.786µs
0 	 148 	 277.871µs
0 	 149 	 270.997µs
0 	 150 	 273.028µs
0 	 151 	 274.317µs
0 	 152 	 291.391µs
0 	 153 	 274.25µs
0 	 154 	 272.614µs
0 	 155 	 309.77µs
0 	 156 	 307.884µs
0 	 157 	 299.68µs
0 	 158 	 301.535µs
0 	 159 	 306.264µs
0 	 160 	 269.546µs
0 	 161 	 267.647µs
0 	 162 	 271.151µs
0 	 163 	 269.408µs
0 	 164 	 249.636µs
0 	 165 	 232.495µs
0 	 166 	 273.546µs
0 	 167 	 235.491µs
0 	 168 	 238.381µs
0 	 169 	 230.56µs
0 	 170 	 278.074µs
0 	 171 	 234.891µs
