ConnID	RqstID	Latency
0 	 0 	 264.682µs
0 	 1 	 289.857µs
0 	 2 	 316.837µs
0 	 3 	 299.027µs
0 	 4 	 277.941µs
0 	 5 	 276.048µs
0 	 6 	 204.649µs
0 	 7 	 257.955µs
0 	 8 	 382.452µs
0 	 9 	 254.986µs
0 	 10 	 281.517µs
0 	 11 	 227.857µs
0 	 12 	 258.128µs
0 	 13 	 214.901µs
0 	 14 	 203.578µs
0 	 15 	 292.187µs
0 	 16 	 273.595µs
0 	 17 	 250.663µs
0 	 18 	 272.314µs
0 	 19 	 293.699µs
0 	 20 	 224.268µs
0 	 21 	 225.339µs
0 	 22 	 248.623µs
0 	 23 	 294.097µs
0 	 24 	 271.561µs
0 	 25 	 249.337µs
0 	 26 	 240.206µs
0 	 27 	 212.188µs
0 	 28 	 246.351µs
0 	 29 	 241.649µs
0 	 30 	 216.943µs
0 	 31 	 231.337µs
0 	 32 	 243.53µs
0 	 33 	 215.208µs
0 	 34 	 209.963µs
0 	 35 	 211.026µs
0 	 36 	 216.298µs
0 	 37 	 257.077µs
0 	 38 	 277.178µs
0 	 39 	 222.229µs
0 	 40 	 202.298µs
0 	 41 	 241.423µs
0 	 42 	 245.341µs
0 	 43 	 239.914µs
0 	 44 	 208.92µs
0 	 45 	 221.835µs
0 	 46 	 237.261µs
0 	 47 	 245.81µs
0 	 48 	 249.006µs
0 	 49 	 245.452µs
0 	 50 	 211.017µs
0 	 51 	 277.765µs
0 	 52 	 237.864µs
0 	 53 	 244.031µs
0 	 54 	 203.96µs
0 	 55 	 203.857µs
0 	 56 	 208.253µs
0 	 57 	 213.405µs
0 	 58 	 223.727µs
0 	 59 	 225.888µs
0 	 60 	 237.979µs
0 	 61 	 222.483µs
0 	 62 	 236.742µs
0 	 63 	 245.207µs
0 	 64 	 203.39µs
0 	 65 	 238.344µs
0 	 66 	 209.006µs
0 	 67 	 206.87µs
0 	 68 	 212.752µs
0 	 69 	 206.457µs
0 	 70 	 212.587µs
0 	 71 	 203.781µs
0 	 72 	 211.015µs
0 	 73 	 215.896µs
0 	 74 	 210.089µs
0 	 75 	 183.554µs
0 	 76 	 146.836µs
0 	 77 	 144.892µs
0 	 78 	 222.719µs
0 	 79 	 175.724µs
0 	 80 	 164.94µs
0 	 81 	 158.606µs
0 	 82 	 171.688µs
0 	 83 	 207.944µs
0 	 84 	 221.781µs
0 	 85 	 211.548µs
0 	 86 	 186.212µs
0 	 87 	 227.315µs
0 	 88 	 285.048µs
0 	 89 	 241.453µs
0 	 90 	 244.903µs
0 	 91 	 280.069µs
0 	 92 	 428.368µs
0 	 93 	 245.563µs
0 	 94 	 217.236µs
0 	 95 	 183.567µs
0 	 96 	 213.824µs
0 	 97 	 172.488µs
0 	 98 	 148.023µs
0 	 99 	 117.642µs
0 	 100 	 122.046µs
0 	 101 	 112.48µs
0 	 102 	 184.956µs
0 	 103 	 122.867µs
0 	 104 	 94.241µs
0 	 105 	 86.22µs
0 	 106 	 86.971µs
0 	 107 	 79.069µs
0 	 108 	 83.092µs
0 	 109 	 96.421µs
0 	 110 	 79.751µs
0 	 111 	 86.554µs
0 	 112 	 82.826µs
0 	 113 	 84.145µs
0 	 114 	 80.527µs
0 	 115 	 82.876µs
0 	 116 	 95.057µs
0 	 117 	 88.728µs
0 	 118 	 79.77µs
0 	 119 	 79.769µs
0 	 120 	 80.641µs
0 	 121 	 78.695µs
0 	 122 	 79.028µs
0 	 123 	 75.283µs
0 	 124 	 85.551µs
0 	 125 	 83.84µs
0 	 126 	 123.639µs
0 	 127 	 92.113µs
0 	 128 	 86.63µs
0 	 129 	 81.704µs
0 	 130 	 84.247µs
0 	 131 	 77.83µs
0 	 132 	 83.208µs
0 	 133 	 86.676µs
0 	 134 	 163.951µs
0 	 135 	 85.198µs
0 	 136 	 86.43µs
0 	 137 	 84.146µs
0 	 138 	 80.677µs
0 	 139 	 81.378µs
0 	 140 	 81.725µs
0 	 141 	 77.775µs
0 	 142 	 75.418µs
0 	 143 	 89.273µs
0 	 144 	 80.292µs
0 	 145 	 84.591µs
0 	 146 	 82.321µs
0 	 147 	 82.575µs
0 	 148 	 90.37µs
0 	 149 	 83.372µs
0 	 150 	 80.473µs
0 	 151 	 84.314µs
0 	 152 	 78.157µs
0 	 153 	 85.311µs
0 	 154 	 84.506µs
0 	 155 	 81.968µs
0 	 156 	 83.187µs
0 	 157 	 78.883µs
0 	 158 	 77.332µs
0 	 159 	 89.117µs
0 	 160 	 86.905µs
0 	 161 	 79.825µs
0 	 162 	 75.676µs
0 	 163 	 76.657µs
0 	 164 	 84.75µs
0 	 165 	 78.857µs
0 	 166 	 75.62µs
0 	 167 	 86.13µs
0 	 168 	 85.51µs
0 	 169 	 81.893µs
0 	 170 	 83.685µs
0 	 171 	 80.732µs
0 	 172 	 80.21µs
0 	 173 	 236.992µs
0 	 174 	 82.89µs
0 	 175 	 85.115µs
0 	 176 	 82.859µs
0 	 177 	 84.789µs
0 	 178 	 87.023µs
0 	 179 	 82.496µs
0 	 180 	 81.423µs
0 	 181 	 83.041µs
0 	 182 	 85.347µs
0 	 183 	 81.498µs
0 	 184 	 82.867µs
0 	 185 	 90.252µs
0 	 186 	 79.158µs
0 	 187 	 77.79µs
0 	 188 	 106.488µs
0 	 189 	 133.886µs
0 	 190 	 95.264µs
0 	 191 	 101.752µs
0 	 192 	 94.615µs
0 	 193 	 140.64µs
0 	 194 	 89.255µs
0 	 195 	 96.136µs
0 	 196 	 164.289µs
0 	 197 	 89.425µs
0 	 198 	 145.033µs
0 	 199 	 171.385µs
0 	 200 	 112.288µs
0 	 201 	 116.668µs
0 	 202 	 113.195µs
0 	 203 	 133.767µs
0 	 204 	 124.175µs
0 	 205 	 183.449µs
0 	 206 	 158.482µs
0 	 207 	 153.247µs
0 	 208 	 146.615µs
0 	 209 	 148.852µs
0 	 210 	 153.96µs
0 	 211 	 187.121µs
0 	 212 	 175.85µs
0 	 213 	 182.636µs
0 	 214 	 144.567µs
0 	 215 	 165.884µs
