ConnID	RqstID	Latency
0 	 0 	 334.224µs
0 	 1 	 270.278µs
0 	 2 	 259.14µs
0 	 3 	 382.182µs
0 	 4 	 442.405µs
0 	 5 	 395.815µs
0 	 6 	 350.881µs
0 	 7 	 434.347µs
0 	 8 	 515.84µs
0 	 9 	 364.665µs
0 	 10 	 393.078µs
0 	 11 	 384.804µs
0 	 12 	 462.062µs
0 	 13 	 370.669µs
0 	 14 	 350.866µs
0 	 15 	 373.372µs
0 	 16 	 520.5µs
0 	 17 	 429.817µs
0 	 18 	 439.489µs
0 	 19 	 425.279µs
0 	 20 	 558.632µs
0 	 21 	 397.839µs
0 	 22 	 424.409µs
0 	 23 	 435.898µs
0 	 24 	 524.732µs
0 	 25 	 427.983µs
0 	 26 	 414.665µs
0 	 27 	 425.489µs
0 	 28 	 437.3µs
0 	 29 	 430.667µs
0 	 30 	 423.565µs
0 	 31 	 432.157µs
0 	 32 	 435.573µs
0 	 33 	 423.28µs
0 	 34 	 427.151µs
0 	 35 	 427.092µs
0 	 36 	 351.795µs
0 	 37 	 456.626µs
0 	 38 	 435.051µs
0 	 39 	 419.412µs
0 	 40 	 447.79µs
0 	 41 	 405.551µs
0 	 42 	 412.274µs
0 	 43 	 430.359µs
0 	 44 	 449.176µs
0 	 45 	 438.572µs
0 	 46 	 418.268µs
0 	 47 	 391.436µs
0 	 48 	 445.202µs
0 	 49 	 432.451µs
0 	 50 	 442.288µs
0 	 51 	 436.205µs
0 	 52 	 458.091µs
0 	 53 	 426.853µs
0 	 54 	 409.348µs
0 	 55 	 398.093µs
0 	 56 	 460.158µs
0 	 57 	 391.581µs
0 	 58 	 396.243µs
0 	 59 	 445.213µs
0 	 60 	 432.247µs
0 	 61 	 403.485µs
0 	 62 	 392.693µs
0 	 63 	 406.325µs
0 	 64 	 455.564µs
0 	 65 	 417.165µs
0 	 66 	 415.305µs
0 	 67 	 414.438µs
0 	 68 	 435.589µs
0 	 69 	 416.846µs
0 	 70 	 402.108µs
0 	 71 	 422.209µs
0 	 72 	 412.223µs
0 	 73 	 417.499µs
0 	 74 	 416.559µs
0 	 75 	 412.217µs
0 	 76 	 430.746µs
0 	 77 	 414.293µs
0 	 78 	 423.417µs
0 	 79 	 427.555µs
0 	 80 	 471.56µs
0 	 81 	 429.262µs
0 	 82 	 425.578µs
0 	 83 	 418.664µs
0 	 84 	 435.091µs
0 	 85 	 370.279µs
0 	 86 	 422.827µs
0 	 87 	 367.853µs
0 	 88 	 431.568µs
0 	 89 	 455.841µs
0 	 90 	 418.156µs
0 	 91 	 404.751µs
0 	 92 	 413.914µs
0 	 93 	 386.648µs
0 	 94 	 399.304µs
0 	 95 	 400.63µs
0 	 96 	 428.125µs
0 	 97 	 396.285µs
0 	 98 	 393.316µs
0 	 99 	 431.345µs
0 	 100 	 442.257µs
0 	 101 	 419.958µs
0 	 102 	 464.61µs
0 	 103 	 420.453µs
0 	 104 	 416.148µs
0 	 105 	 454.4µs
0 	 106 	 420.419µs
0 	 107 	 310.673µs
0 	 108 	 437.806µs
0 	 109 	 423.972µs
0 	 110 	 366.915µs
0 	 111 	 423.76µs
0 	 112 	 454.732µs
0 	 113 	 444.801µs
0 	 114 	 430.153µs
0 	 115 	 432.057µs
0 	 116 	 437.748µs
0 	 117 	 465.028µs
0 	 118 	 390.623µs
0 	 119 	 394.37µs
0 	 120 	 414.46µs
0 	 121 	 434.098µs
0 	 122 	 460.956µs
0 	 123 	 466.598µs
0 	 124 	 499.587µs
0 	 125 	 423.464µs
0 	 126 	 392.942µs
0 	 127 	 430.177µs
0 	 128 	 467.714µs
0 	 129 	 424.196µs
0 	 130 	 415.771µs
0 	 131 	 419.682µs
0 	 132 	 409.798µs
0 	 133 	 387.607µs
0 	 134 	 420.208µs
0 	 135 	 395.799µs
0 	 136 	 367.108µs
0 	 137 	 435.504µs
0 	 138 	 443.148µs
0 	 139 	 424.339µs
0 	 140 	 420.594µs
0 	 141 	 403.647µs
0 	 142 	 422.769µs
0 	 143 	 386.744µs
0 	 144 	 449.381µs
0 	 145 	 421.472µs
0 	 146 	 397.43µs
0 	 147 	 401.259µs
0 	 148 	 429.633µs
0 	 149 	 368.119µs
0 	 150 	 415.888µs
0 	 151 	 359.902µs
0 	 152 	 466.806µs
0 	 153 	 448.488µs
0 	 154 	 431.746µs
0 	 155 	 445.161µs
0 	 156 	 442.679µs
0 	 157 	 444.786µs
0 	 158 	 419.199µs
0 	 159 	 427.395µs
0 	 160 	 386.562µs
0 	 161 	 379.991µs
0 	 162 	 398.705µs
0 	 163 	 430.264µs
0 	 164 	 521.841µs
0 	 165 	 376.443µs
0 	 166 	 456.927µs
0 	 167 	 461.416µs
0 	 168 	 421.895µs
0 	 169 	 363.012µs
0 	 170 	 420.583µs
0 	 171 	 408.494µs
0 	 172 	 359.69µs
0 	 173 	 406.825µs
0 	 174 	 439.162µs
0 	 175 	 457.08µs
0 	 176 	 442.659µs
0 	 177 	 440.521µs
0 	 178 	 405.51µs
0 	 179 	 485.369µs
0 	 180 	 477.874µs
0 	 181 	 429.245µs
0 	 182 	 462.687µs
0 	 183 	 436.995µs
0 	 184 	 442.236µs
0 	 185 	 398.097µs
0 	 186 	 453.741µs
0 	 187 	 366.21µs
0 	 188 	 434.978µs
0 	 189 	 383.453µs
0 	 190 	 424.029µs
0 	 191 	 426.928µs
0 	 192 	 429.378µs
0 	 193 	 414.263µs
0 	 194 	 459.599µs
0 	 195 	 414.789µs
0 	 196 	 406.837µs
0 	 197 	 398.153µs
0 	 198 	 432.146µs
0 	 199 	 400.276µs
0 	 200 	 417.871µs
0 	 201 	 451.572µs
0 	 202 	 455.405µs
0 	 203 	 427.652µs
0 	 204 	 474.947µs
0 	 205 	 424.701µs
0 	 206 	 419.856µs
0 	 207 	 405.209µs
0 	 208 	 435.227µs
0 	 209 	 415.577µs
0 	 210 	 425.842µs
0 	 211 	 422.321µs
0 	 212 	 445.621µs
0 	 213 	 457.578µs
0 	 214 	 424.934µs
0 	 215 	 463.644µs
0 	 216 	 438.022µs
0 	 217 	 465.561µs
0 	 218 	 428.208µs
0 	 219 	 465.054µs
0 	 220 	 369.014µs
0 	 221 	 451.403µs
0 	 222 	 377.511µs
0 	 223 	 391.136µs
0 	 224 	 405.764µs
0 	 225 	 421.538µs
0 	 226 	 415.955µs
0 	 227 	 417.611µs
0 	 228 	 423.829µs
0 	 229 	 404.934µs
0 	 230 	 410.54µs
0 	 231 	 411.49µs
0 	 232 	 431.25µs
0 	 233 	 410.001µs
0 	 234 	 415.661µs
0 	 235 	 410.627µs
0 	 236 	 361.133µs
0 	 237 	 412.173µs
0 	 238 	 412.355µs
0 	 239 	 415.009µs
0 	 240 	 427.75µs
0 	 241 	 386.417µs
0 	 242 	 413.134µs
0 	 243 	 401.001µs
0 	 244 	 338.863µs
0 	 245 	 409.123µs
0 	 246 	 382.942µs
0 	 247 	 379.041µs
0 	 248 	 430.203µs
0 	 249 	 422.465µs
0 	 250 	 428.41µs
0 	 251 	 421.271µs
0 	 252 	 427.509µs
0 	 253 	 369.378µs
0 	 254 	 414.697µs
0 	 255 	 422.988µs
0 	 256 	 435.329µs
0 	 257 	 404.761µs
0 	 258 	 346.321µs
0 	 259 	 327.735µs
0 	 260 	 382.356µs
0 	 261 	 336.975µs
0 	 262 	 412.099µs
0 	 263 	 415.686µs
0 	 264 	 422.072µs
0 	 265 	 413.662µs
0 	 266 	 404.317µs
0 	 267 	 408.934µs
0 	 268 	 383.414µs
0 	 269 	 442.095µs
0 	 270 	 401.719µs
0 	 271 	 451.919µs
0 	 272 	 421.509µs
0 	 273 	 372.684µs
0 	 274 	 395.446µs
0 	 275 	 486.503µs
0 	 276 	 419.614µs
0 	 277 	 408.384µs
0 	 278 	 375.31µs
0 	 279 	 463.785µs
0 	 280 	 424.33µs
0 	 281 	 424.97µs
0 	 282 	 426.793µs
0 	 283 	 425.948µs
0 	 284 	 439.765µs
0 	 285 	 418.237µs
0 	 286 	 458.45µs
0 	 287 	 426.459µs
0 	 288 	 455.815µs
0 	 289 	 448.824µs
0 	 290 	 445.271µs
0 	 291 	 444.947µs
0 	 292 	 456.028µs
0 	 293 	 437.209µs
0 	 294 	 427.088µs
0 	 295 	 426.421µs
0 	 296 	 441.392µs
0 	 297 	 460.43µs
0 	 298 	 425.725µs
0 	 299 	 421.483µs
0 	 300 	 474.707µs
0 	 301 	 412.125µs
0 	 302 	 459.991µs
0 	 303 	 463.474µs
0 	 304 	 450.839µs
0 	 305 	 365.438µs
0 	 306 	 425.529µs
0 	 307 	 426.76µs
0 	 308 	 406.532µs
0 	 309 	 456.713µs
0 	 310 	 388.394µs
0 	 311 	 445.31µs
0 	 312 	 423.577µs
0 	 313 	 440.867µs
0 	 314 	 445.564µs
0 	 315 	 444.919µs
0 	 316 	 456.272µs
0 	 317 	 422.585µs
0 	 318 	 419.656µs
0 	 319 	 424.56µs
0 	 320 	 465.522µs
0 	 321 	 482.946µs
0 	 322 	 446.084µs
0 	 323 	 419.583µs
0 	 324 	 460.472µs
0 	 325 	 443.785µs
0 	 326 	 448.994µs
0 	 327 	 449.078µs
0 	 328 	 461.498µs
0 	 329 	 454.33µs
0 	 330 	 459.431µs
0 	 331 	 448.967µs
0 	 332 	 478.78µs
0 	 333 	 419.967µs
0 	 334 	 387.048µs
0 	 335 	 295.092µs
0 	 336 	 379.987µs
0 	 337 	 441.033µs
0 	 338 	 464.193µs
0 	 339 	 451.99µs
0 	 340 	 464.417µs
0 	 341 	 452.086µs
0 	 342 	 440.357µs
0 	 343 	 479.989µs
0 	 344 	 467.646µs
0 	 345 	 467.277µs
0 	 346 	 428.405µs
0 	 347 	 356.652µs
0 	 348 	 496.286µs
0 	 349 	 443.408µs
0 	 350 	 378.921µs
0 	 351 	 416.327µs
0 	 352 	 472.505µs
0 	 353 	 435.2µs
0 	 354 	 419.768µs
0 	 355 	 425.031µs
0 	 356 	 495.528µs
0 	 357 	 393.837µs
0 	 358 	 391.554µs
0 	 359 	 429.239µs
0 	 360 	 439.428µs
0 	 361 	 364.572µs
0 	 362 	 392.438µs
0 	 363 	 352.897µs
0 	 364 	 481.138µs
0 	 365 	 456.839µs
0 	 366 	 414.541µs
0 	 367 	 402.057µs
0 	 368 	 437.836µs
0 	 369 	 367.303µs
0 	 370 	 402.066µs
0 	 371 	 388.066µs
0 	 372 	 282.032µs
0 	 373 	 375.321µs
0 	 374 	 376.403µs
0 	 375 	 428.165µs
0 	 376 	 487.634µs
0 	 377 	 403.964µs
0 	 378 	 417.349µs
0 	 379 	 372.928µs
0 	 380 	 478.311µs
0 	 381 	 400.609µs
0 	 382 	 380.085µs
0 	 383 	 385.478µs
0 	 384 	 467.458µs
0 	 385 	 379.043µs
0 	 386 	 377.547µs
0 	 387 	 382.997µs
0 	 388 	 387.676µs
0 	 389 	 378.915µs
0 	 390 	 368.447µs
0 	 391 	 399.904µs
0 	 392 	 521.453µs
0 	 393 	 442.39µs
0 	 394 	 457.758µs
0 	 395 	 390.797µs
0 	 396 	 443.059µs
0 	 397 	 439.318µs
0 	 398 	 459.53µs
0 	 399 	 507.094µs
0 	 400 	 417.747µs
0 	 401 	 419.831µs
0 	 402 	 404.603µs
0 	 403 	 427.876µs
0 	 404 	 438.792µs
0 	 405 	 407.049µs
0 	 406 	 447.753µs
0 	 407 	 466.614µs
0 	 408 	 440.544µs
0 	 409 	 378.245µs
0 	 410 	 401.59µs
0 	 411 	 402.178µs
0 	 412 	 423.969µs
0 	 413 	 401.471µs
0 	 414 	 437.448µs
0 	 415 	 429.33µs
0 	 416 	 428.649µs
0 	 417 	 374.045µs
0 	 418 	 373.113µs
0 	 419 	 408.647µs
0 	 420 	 416.008µs
0 	 421 	 377.12µs
0 	 422 	 363.561µs
0 	 423 	 391.594µs
0 	 424 	 437.457µs
0 	 425 	 397.097µs
0 	 426 	 413.675µs
0 	 427 	 424.052µs
0 	 428 	 431.956µs
0 	 429 	 421.208µs
0 	 430 	 391.741µs
0 	 431 	 448.118µs
0 	 432 	 422.36µs
0 	 433 	 375.745µs
0 	 434 	 397.064µs
0 	 435 	 403.103µs
0 	 436 	 506.585µs
0 	 437 	 412.045µs
0 	 438 	 427.954µs
0 	 439 	 455.494µs
0 	 440 	 453.779µs
0 	 441 	 398.419µs
0 	 442 	 445.976µs
0 	 443 	 407.97µs
0 	 444 	 404.977µs
0 	 445 	 410.244µs
0 	 446 	 383.66µs
0 	 447 	 374.289µs
0 	 448 	 412.267µs
0 	 449 	 413.377µs
0 	 450 	 391.654µs
0 	 451 	 398.914µs
0 	 452 	 418.531µs
0 	 453 	 409.273µs
0 	 454 	 402.475µs
0 	 455 	 402.652µs
0 	 456 	 477.711µs
0 	 457 	 450.244µs
0 	 458 	 384.982µs
0 	 459 	 376.163µs
0 	 460 	 446.581µs
0 	 461 	 445.47µs
0 	 462 	 376.231µs
0 	 463 	 405.384µs
0 	 464 	 447.056µs
0 	 465 	 424.573µs
0 	 466 	 439.952µs
0 	 467 	 392.189µs
0 	 468 	 417.954µs
0 	 469 	 439.537µs
0 	 470 	 371.522µs
0 	 471 	 351.074µs
0 	 472 	 433.608µs
0 	 473 	 480.836µs
0 	 474 	 372.113µs
0 	 475 	 372.684µs
0 	 476 	 374.977µs
0 	 477 	 490.034µs
0 	 478 	 411.431µs
0 	 479 	 403.801µs
0 	 480 	 442.133µs
0 	 481 	 469.847µs
0 	 482 	 418.799µs
0 	 483 	 401.546µs
0 	 484 	 416.936µs
0 	 485 	 477.733µs
0 	 486 	 429.937µs
0 	 487 	 426.041µs
0 	 488 	 477.156µs
