16	1000 	 231.576µs 	 382.226µs 	 613.876µs 	 41.116µs 	 999.4008422052837 	 127923.30780227631 	 2.046772924836421e+06
32	1000 	 269.249µs 	 413.575µs 	 481.692µs 	 20.599µs 	 999.4446505843457 	 255857.8305495925 	 2.04686264439674e+06
64	1000 	 250.419µs 	 410.148µs 	 639.487µs 	 41.968µs 	 999.3129553548732 	 511648.2331416951 	 2.0465929325667804e+06
128	1000 	 253.293µs 	 413.61µs 	 504.498µs 	 37.29µs 	 999.4475084156902 	 1.0234342486176668e+06 	 2.0468684972353335e+06
256	1000 	 262.888µs 	 399.668µs 	 511.901µs 	 40.79µs 	 999.4839864074975 	 2.0469432041625548e+06 	 2.0469432041625548e+06
512	1000 	 242.561µs 	 372.349µs 	 595.593µs 	 50.554µs 	 999.4986275004787 	 4.093946378241961e+06 	 2.0469731891209804e+06
1024	1000 	 278.049µs 	 431.435µs 	 570.872µs 	 32.787µs 	 999.4197468891537 	 8.187246566515947e+06 	 2.0468116416289867e+06
2048	1000 	 334.044µs 	 499.766µs 	 2.601242ms 	 97.386µs 	 999.5542058210832 	 1.6376696108172627e+07 	 2.0470870135215784e+06
4096	1000 	 339.964µs 	 494.176µs 	 871.239µs 	 47.686µs 	 999.4630105126379 	 3.2750403928478118e+07 	 2.0469002455298824e+06
8192	1000 	 405.665µs 	 495.885µs 	 893.988µs 	 41.883µs 	 999.3911209595555 	 6.5496096503205426e+07 	 2.0467530157251696e+06
16384	1000 	 441.488µs 	 617.501µs 	 1.100549ms 	 58.097µs 	 999.4984676609033 	 1.3100626315324992e+08 	 2.04697286176953e+06
32768	1000 	 554.576µs 	 696.671µs 	 1.564219ms 	 84.767µs 	 999.3318307486521 	 2.6196884343977466e+08 	 2.0466315893732395e+06
65536	1000 	 751.761µs 	 1.002904ms 	 7.067419ms 	 517.316µs 	 999.4504261974442 	 5.2399986505020565e+08 	 2.0468744728523658e+06
131072	1000 	 5.273626ms 	 42.015164ms 	 70.224808ms 	 11.205983ms 	 800.7689784500055 	 8.39667132347193e+08 	 1.6399748678656113e+06
262144	1000 	 7.412664ms 	 18.220217ms 	 51.470039ms 	 7.586194ms 	 393.6620363336195 	 8.255691268211228e+08 	 806219.8504112527
