ConnID	RqstID	Latency
0 	 0 	 558.841µs
0 	 1 	 334.538µs
0 	 2 	 342.863µs
0 	 3 	 321.625µs
0 	 4 	 322.652µs
0 	 5 	 317.486µs
0 	 6 	 276.91µs
0 	 7 	 285.184µs
0 	 8 	 282.187µs
0 	 9 	 284.669µs
0 	 10 	 289.891µs
0 	 11 	 305.51µs
0 	 12 	 301.656µs
0 	 13 	 284.739µs
0 	 14 	 293.901µs
0 	 15 	 292.398µs
0 	 16 	 372.947µs
0 	 17 	 302.343µs
0 	 18 	 290.962µs
0 	 19 	 290.1µs
0 	 20 	 290.958µs
0 	 21 	 288.247µs
0 	 22 	 285.373µs
0 	 23 	 288.477µs
0 	 24 	 284.873µs
0 	 25 	 291.175µs
0 	 26 	 287.523µs
0 	 27 	 291.822µs
0 	 28 	 286.691µs
0 	 29 	 284.75µs
0 	 30 	 435.221µs
0 	 31 	 294.645µs
0 	 32 	 282.443µs
0 	 33 	 289.712µs
0 	 34 	 279.726µs
0 	 35 	 290.982µs
0 	 36 	 289.78µs
0 	 37 	 291.104µs
0 	 38 	 279.628µs
0 	 39 	 286.923µs
0 	 40 	 283.505µs
0 	 41 	 287.471µs
0 	 42 	 282.074µs
0 	 43 	 478.218µs
0 	 44 	 289.714µs
0 	 45 	 287.985µs
0 	 46 	 285.221µs
0 	 47 	 285.316µs
0 	 48 	 283.546µs
0 	 49 	 283.366µs
0 	 50 	 307.72µs
0 	 51 	 295.013µs
0 	 52 	 274.067µs
0 	 53 	 282.499µs
0 	 54 	 284.76µs
0 	 55 	 285.942µs
0 	 56 	 319.043µs
0 	 57 	 353.759µs
0 	 58 	 254.263µs
0 	 59 	 254.261µs
0 	 60 	 256.206µs
0 	 61 	 300.266µs
0 	 62 	 293.157µs
0 	 63 	 301.863µs
0 	 64 	 308.164µs
0 	 65 	 312.892µs
0 	 66 	 285.414µs
0 	 67 	 294.698µs
0 	 68 	 284.921µs
0 	 69 	 306.719µs
0 	 70 	 310.32µs
0 	 71 	 282.744µs
0 	 72 	 295.115µs
0 	 73 	 287.401µs
0 	 74 	 285.37µs
0 	 75 	 297.705µs
0 	 76 	 285.292µs
0 	 77 	 294.983µs
0 	 78 	 279.793µs
0 	 79 	 289.867µs
0 	 80 	 287.386µs
0 	 81 	 287.651µs
0 	 82 	 291.392µs
0 	 83 	 289.839µs
0 	 84 	 318.122µs
0 	 85 	 308.655µs
0 	 86 	 305.79µs
0 	 87 	 307.782µs
0 	 88 	 300.075µs
0 	 89 	 278.447µs
0 	 90 	 289.869µs
0 	 91 	 293.018µs
0 	 92 	 292.053µs
0 	 93 	 292.368µs
0 	 94 	 289.84µs
0 	 95 	 296.642µs
0 	 96 	 277.781µs
0 	 97 	 295.023µs
0 	 98 	 292.716µs
0 	 99 	 288.19µs
0 	 100 	 292.439µs
0 	 101 	 290.302µs
0 	 102 	 291.459µs
0 	 103 	 289.684µs
0 	 104 	 286.02µs
0 	 105 	 284.673µs
0 	 106 	 294.503µs
0 	 107 	 287.428µs
0 	 108 	 289.781µs
0 	 109 	 292.431µs
0 	 110 	 308.435µs
0 	 111 	 477.218µs
0 	 112 	 286.597µs
0 	 113 	 291.309µs
0 	 114 	 284.712µs
0 	 115 	 285.522µs
0 	 116 	 291.313µs
0 	 117 	 289.832µs
0 	 118 	 290.947µs
0 	 119 	 300.036µs
0 	 120 	 290.319µs
0 	 121 	 284.664µs
0 	 122 	 284.905µs
0 	 123 	 284.336µs
0 	 124 	 275.567µs
0 	 125 	 284.931µs
0 	 126 	 291.031µs
0 	 127 	 296.148µs
0 	 128 	 283.303µs
0 	 129 	 292.47µs
0 	 130 	 290.369µs
0 	 131 	 292.75µs
0 	 132 	 287.747µs
0 	 133 	 288.543µs
0 	 134 	 286.823µs
0 	 135 	 285.427µs
0 	 136 	 287.454µs
0 	 137 	 300.144µs
0 	 138 	 293.657µs
0 	 139 	 305.11µs
0 	 140 	 287.87µs
0 	 141 	 291.91µs
0 	 142 	 285.035µs
0 	 143 	 287.325µs
0 	 144 	 284.763µs
0 	 145 	 292.151µs
0 	 146 	 284.908µs
0 	 147 	 289.868µs
0 	 148 	 287.549µs
0 	 149 	 286.946µs
0 	 150 	 286.463µs
0 	 151 	 285.012µs
0 	 152 	 457.574µs
0 	 153 	 294.829µs
0 	 154 	 282.385µs
0 	 155 	 282.372µs
0 	 156 	 284.701µs
0 	 157 	 287.436µs
0 	 158 	 285.961µs
0 	 159 	 272.589µs
0 	 160 	 262.899µs
0 	 161 	 273.059µs
0 	 162 	 293.724µs
0 	 163 	 288.233µs
0 	 164 	 291.113µs
0 	 165 	 287.117µs
0 	 166 	 292.748µs
0 	 167 	 282.611µs
0 	 168 	 284.839µs
0 	 169 	 279.852µs
0 	 170 	 279.78µs
0 	 171 	 284.702µs
0 	 172 	 285.939µs
0 	 173 	 284.8µs
0 	 174 	 379.415µs
0 	 175 	 290.73µs
0 	 176 	 291.36µs
0 	 177 	 271.727µs
0 	 178 	 300.101µs
0 	 179 	 303.994µs
0 	 180 	 285.324µs
0 	 181 	 289.612µs
0 	 182 	 289.856µs
0 	 183 	 279.706µs
0 	 184 	 291.378µs
0 	 185 	 280.346µs
0 	 186 	 284.682µs
0 	 187 	 287.515µs
0 	 188 	 283.85µs
0 	 189 	 292.686µs
0 	 190 	 285.23µs
0 	 191 	 286.965µs
0 	 192 	 286.592µs
0 	 193 	 294.932µs
0 	 194 	 291.106µs
0 	 195 	 287.534µs
0 	 196 	 284.781µs
0 	 197 	 287.823µs
0 	 198 	 289.758µs
0 	 199 	 281.117µs
0 	 200 	 290.492µs
0 	 201 	 291.208µs
0 	 202 	 279.644µs
0 	 203 	 298.281µs
0 	 204 	 289.97µs
0 	 205 	 285.416µs
0 	 206 	 284.457µs
0 	 207 	 290.054µs
0 	 208 	 287.51µs
0 	 209 	 284.835µs
0 	 210 	 290.145µs
0 	 211 	 279.715µs
0 	 212 	 289.973µs
0 	 213 	 286.284µs
0 	 214 	 282.536µs
0 	 215 	 285.468µs
0 	 216 	 287.393µs
0 	 217 	 286.875µs
0 	 218 	 284.902µs
0 	 219 	 288.548µs
0 	 220 	 290.423µs
0 	 221 	 471.185µs
0 	 222 	 306.707µs
0 	 223 	 318.055µs
0 	 224 	 306.13µs
0 	 225 	 298.949µs
0 	 226 	 302.517µs
0 	 227 	 273.352µs
0 	 228 	 293.998µs
0 	 229 	 290.382µs
0 	 230 	 294.561µs
0 	 231 	 293.379µs
0 	 232 	 289.023µs
0 	 233 	 300.633µs
0 	 234 	 296.625µs
0 	 235 	 296.103µs
0 	 236 	 288.888µs
0 	 237 	 300.536µs
0 	 238 	 287.648µs
0 	 239 	 289.286µs
0 	 240 	 291.927µs
0 	 241 	 294.018µs
0 	 242 	 286.719µs
0 	 243 	 299.048µs
0 	 244 	 286.913µs
0 	 245 	 292.151µs
0 	 246 	 300.557µs
0 	 247 	 294.099µs
0 	 248 	 290.351µs
0 	 249 	 292.668µs
0 	 250 	 295.915µs
0 	 251 	 289.78µs
0 	 252 	 291.793µs
0 	 253 	 286.358µs
0 	 254 	 299.034µs
0 	 255 	 299.39µs
0 	 256 	 280.074µs
0 	 257 	 290.417µs
0 	 258 	 293.916µs
0 	 259 	 294.37µs
0 	 260 	 300.105µs
0 	 261 	 295.157µs
0 	 262 	 288.744µs
0 	 263 	 299.573µs
0 	 264 	 278.697µs
0 	 265 	 279.186µs
0 	 266 	 279.092µs
0 	 267 	 289.428µs
0 	 268 	 283.686µs
0 	 269 	 279.174µs
0 	 270 	 285.995µs
0 	 271 	 268.601µs
0 	 272 	 278.681µs
0 	 273 	 279.133µs
0 	 274 	 284.471µs
0 	 275 	 617.132µs
0 	 276 	 286.511µs
0 	 277 	 283.013µs
0 	 278 	 254.347µs
0 	 279 	 274.281µs
0 	 280 	 279.855µs
0 	 281 	 282.18µs
0 	 282 	 279.276µs
0 	 283 	 274.355µs
0 	 284 	 277.762µs
0 	 285 	 282.353µs
0 	 286 	 279.383µs
0 	 287 	 298.686µs
0 	 288 	 282.749µs
0 	 289 	 274.07µs
0 	 290 	 279.871µs
0 	 291 	 277.236µs
0 	 292 	 257.056µs
0 	 293 	 299.008µs
0 	 294 	 279.1µs
0 	 295 	 281.143µs
0 	 296 	 269.208µs
0 	 297 	 279.299µs
0 	 298 	 279.342µs
0 	 299 	 276.267µs
0 	 300 	 282.404µs
0 	 301 	 279.417µs
0 	 302 	 316.293µs
0 	 303 	 262.343µs
0 	 304 	 279.291µs
0 	 305 	 279.945µs
0 	 306 	 276.791µs
0 	 307 	 281.61µs
0 	 308 	 274.168µs
0 	 309 	 279.36µs
0 	 310 	 282.236µs
0 	 311 	 269.68µs
0 	 312 	 279.403µs
0 	 313 	 279.239µs
0 	 314 	 278.976µs
0 	 315 	 274.317µs
0 	 316 	 294.907µs
0 	 317 	 264.349µs
0 	 318 	 278.301µs
0 	 319 	 281.146µs
0 	 320 	 270.026µs
0 	 321 	 279.741µs
0 	 322 	 281.554µs
0 	 323 	 289.586µs
0 	 324 	 281.902µs
0 	 325 	 283.206µs
0 	 326 	 269.705µs
0 	 327 	 274.2µs
0 	 328 	 279.421µs
0 	 329 	 281.26µs
0 	 330 	 271.826µs
0 	 331 	 469.836µs
0 	 332 	 288.996µs
0 	 333 	 264.083µs
0 	 334 	 279.288µs
0 	 335 	 279.349µs
0 	 336 	 280.894µs
0 	 337 	 274.262µs
0 	 338 	 280.819µs
0 	 339 	 280.988µs
0 	 340 	 271.444µs
0 	 341 	 279.33µs
0 	 342 	 276.199µs
0 	 343 	 285.913µs
0 	 344 	 274.231µs
0 	 345 	 279.412µs
0 	 346 	 274.179µs
